symbol	occurrences	role	test	token	count	total	share	contrast_count	contrast_total	contrast_share	delta
d:1	187	final	has_prior	i:1	119	122	0.9754	40	65	0.6154	0.3600
d:1	187	final	prev_is	i:1	119	122	0.9754	40	65	0.6154	0.3600
d:1	187	medial	has_after	e:1	63	65	0.9692	0	122	0.0000	0.9692
d:1	187	medial	has_prior	e:1	62	65	0.9538	114	122	0.9344	0.0194
d:1	187	final	has_prior	f:1	115	122	0.9426	22	65	0.3385	0.6042
d:1	187	final	has_prior	e:1	114	122	0.9344	62	65	0.9538	-0.0194
d:1	187	final	has_prior	c:1	103	122	0.8443	48	65	0.7385	0.1058
d:1	187	medial	next_is	e:1	38	65	0.5846	0	122	0.0000	0.5846
d:1	187	medial	has_after	h:1	37	65	0.5692	0	122	0.0000	0.5692
d:1	187	medial	ends_with	h:1	35	65	0.5385	0	122	0.0000	0.5385
d:1	187	medial	has_after	f:1	34	65	0.5231	0	122	0.0000	0.5231
d:1	187	medial	has_prior	f:1	22	65	0.3385	115	122	0.9426	-0.6042
e:1	1069	final	has_prior	g:1	6	7	0.8571	527	1062	0.4962	0.3609
e:1	1069	initial	has_after	c:1	193	228	0.8465	336	841	0.3995	0.4470
e:1	1069	medial	has_prior	c:1	542	834	0.6499	4	235	0.0170	0.6329
e:1	1069	medial	has_prior	g:1	527	834	0.6319	6	235	0.0255	0.6064
c:1	524	final	has_prior	e:1	25	26	0.9615	363	498	0.7289	0.2326
c:1	524	final	has_prior	g:1	23	26	0.8846	165	498	0.3313	0.5533
c:1	524	medial	has_prior	e:1	363	446	0.8139	25	78	0.3205	0.4934
c:1	524	final	prev_is	e:1	21	26	0.8077	221	498	0.4438	0.3639
f:1	348	final	has_prior	h:1	1	1	1.0000	24	347	0.0692	0.9308
f:1	348	initial	has_after	c:1	1	1	1.0000	25	347	0.0720	0.9280
f:1	348	final	has_prior	i:1	1	1	1.0000	28	347	0.0807	0.9193
f:1	348	initial	ends_with	j:1	1	1	1.0000	73	347	0.2104	0.7896
f:1	348	initial	next_is	j:1	1	1	1.0000	87	347	0.2507	0.7493
f:1	348	initial	has_after	j:1	1	1	1.0000	104	347	0.2997	0.7003
f:1	348	final	prev_is	e:1	1	1	1.0000	125	347	0.3602	0.6398
f:1	348	final	has_prior	h:2	1	1	1.0000	146	347	0.4207	0.5793
f:1	348	final	starts_with	e:1	1	1	1.0000	249	347	0.7176	0.2824
f:1	348	final	has_prior	c:1	1	1	1.0000	296	347	0.8530	0.1470
f:1	348	final	has_prior	e:1	1	1	1.0000	323	347	0.9308	0.0692
f:1	348	medial	has_prior	e:1	323	346	0.9335	1	2	0.5000	0.4335
f:1	348	medial	has_prior	c:1	296	346	0.8555	1	2	0.5000	0.3555
f:1	348	medial	has_after	d:1	241	346	0.6965	0	2	0.0000	0.6965
f:1	348	medial	has_after	i:1	241	346	0.6965	0	2	0.0000	0.6965
f:1	348	medial	ends_with	d:1	215	346	0.6214	0	2	0.0000	0.6214
a:1	341	final	has_prior	b:1	3	3	1.0000	141	338	0.4172	0.5828
a:1	341	final	prev_is	c:1	3	3	1.0000	212	338	0.6272	0.3728
a:1	341	final	has_prior	c:1	3	3	1.0000	224	338	0.6627	0.3373
a:1	341	initial	has_after	c:1	39	39	1.0000	206	302	0.6821	0.3179
a:1	341	medial	has_after	e:1	274	299	0.9164	32	42	0.7619	0.1545
a:1	341	initial	has_after	b:1	35	39	0.8974	128	302	0.4238	0.4736
a:1	341	initial	has_after	e:1	32	39	0.8205	274	302	0.9073	-0.0868
a:1	341	initial	next_is	b:1	30	39	0.7692	74	302	0.2450	0.5242
a:1	341	medial	has_prior	c:1	224	299	0.7492	3	42	0.0714	0.6777
a:1	341	medial	prev_is	c:1	212	299	0.7090	3	42	0.0714	0.6376
a:1	341	medial	has_prior	e:1	206	299	0.6890	2	42	0.0476	0.6413
a:1	341	final	has_prior	n:1	2	3	0.6667	16	338	0.0473	0.6193
a:1	341	final	has_prior	m:1	2	3	0.6667	41	338	0.1213	0.5454
a:1	341	final	has_prior	g:1	2	3	0.6667	55	338	0.1627	0.5039
a:1	341	medial	starts_with	e:1	168	299	0.5619	1	42	0.0238	0.5381
a:1	341	medial	next_is	b:1	74	299	0.2475	30	42	0.7143	-0.4668
h:1	161	final	has_prior	e:1	138	138	1.0000	23	23	1.0000	0.0000
h:1	161	medial	has_prior	e:1	23	23	1.0000	138	138	1.0000	0.0000
h:1	161	final	prev_is	e:1	136	138	0.9855	22	23	0.9565	0.0290
h:1	161	medial	prev_is	e:1	22	23	0.9565	136	138	0.9855	-0.0290
h:1	161	medial	has_after	e:1	20	23	0.8696	0	138	0.0000	0.8696
h:1	161	final	has_prior	c:1	112	138	0.8116	9	23	0.3913	0.4203
h:1	161	medial	has_after	c:1	18	23	0.7826	0	138	0.0000	0.7826
h:1	161	final	has_prior	g:1	106	138	0.7681	5	23	0.2174	0.5507
h:1	161	medial	has_after	f:1	15	23	0.6522	0	138	0.0000	0.6522
h:1	161	medial	next_is	e:1	12	23	0.5217	0	138	0.0000	0.5217
h:1	161	medial	has_prior	g:1	5	23	0.2174	106	138	0.7681	-0.5507
h:2	126	final	has_prior	c:1	7	7	1.0000	113	119	0.9496	0.0504
h:2	126	medial	has_prior	e:1	119	119	1.0000	7	7	1.0000	0.0000
h:2	126	final	has_prior	e:1	7	7	1.0000	119	119	1.0000	0.0000
h:2	126	medial	has_prior	c:1	113	119	0.9496	7	7	1.0000	-0.0504
h:2	126	medial	has_after	e:1	110	119	0.9244	0	7	0.0000	0.9244
h:2	126	medial	prev_is	c:1	109	119	0.9160	5	7	0.7143	0.2017
h:2	126	medial	starts_with	e:1	98	119	0.8235	2	7	0.2857	0.5378
h:2	126	medial	next_is	e:1	96	119	0.8067	0	7	0.0000	0.8067
h:2	126	medial	has_after	f:1	80	119	0.6723	0	7	0.0000	0.6723
h:2	126	medial	has_after	d:1	60	119	0.5042	0	7	0.0000	0.5042
h:2	126	medial	has_after	i:1	60	119	0.5042	0	7	0.0000	0.5042
h:2	126	medial	ends_with	d:1	56	119	0.4706	0	7	0.0000	0.4706
h:2	126	final	starts_with	e:1	2	7	0.2857	98	119	0.8235	-0.5378
m:1	41	medial	has_after	c:1	41	41	1.0000	0	0	0.0000	1.0000
m:1	41	medial	has_prior	a:1	41	41	1.0000	0	0	0.0000	1.0000
m:1	41	medial	prev_is	a:1	41	41	1.0000	0	0	0.0000	1.0000
m:1	41	medial	has_after	a:1	40	41	0.9756	0	0	0.0000	0.9756
m:1	41	medial	next_is	c:1	40	41	0.9756	0	0	0.0000	0.9756
m:1	41	medial	has_after	e:1	37	41	0.9024	0	0	0.0000	0.9024
m:1	41	medial	has_prior	e:1	26	41	0.6341	0	0	0.0000	0.6341
m:1	41	medial	has_after	g:1	24	41	0.5854	0	0	0.0000	0.5854
m:1	41	medial	starts_with	e:1	24	41	0.5854	0	0	0.0000	0.5854
m:1	41	medial	ends_with	h:1	20	41	0.4878	0	0	0.0000	0.4878
m:1	41	medial	has_after	h:1	20	41	0.4878	0	0	0.0000	0.4878
g:1	245	medial	has_after	e:1	245	245	1.0000	0	0	0.0000	1.0000
g:1	245	medial	next_is	e:1	245	245	1.0000	0	0	0.0000	1.0000
g:1	245	medial	has_prior	e:1	236	245	0.9633	0	0	0.0000	0.9633
g:1	245	medial	prev_is	e:1	180	245	0.7347	0	0	0.0000	0.7347
g:1	245	medial	starts_with	e:1	154	245	0.6286	0	0	0.0000	0.6286
g:1	245	medial	has_after	c:1	141	245	0.5755	0	0	0.0000	0.5755
g:1	245	medial	has_after	h:1	123	245	0.5020	0	0	0.0000	0.5020
g:1	245	medial	ends_with	h:1	119	245	0.4857	0	0	0.0000	0.4857
g:1	245	medial	has_prior	c:1	117	245	0.4776	0	0	0.0000	0.4776
j:1	88	final	has_prior	f:1	64	64	1.0000	24	24	1.0000	0.0000
j:1	88	final	prev_is	f:1	64	64	1.0000	24	24	1.0000	0.0000
j:1	88	medial	has_prior	f:1	24	24	1.0000	64	64	1.0000	0.0000
j:1	88	medial	prev_is	f:1	24	24	1.0000	64	64	1.0000	0.0000
j:1	88	final	has_prior	c:1	62	64	0.9688	23	24	0.9583	0.0104
j:1	88	medial	has_prior	c:1	23	24	0.9583	62	64	0.9688	-0.0104
j:1	88	final	has_prior	e:1	55	64	0.8594	19	24	0.7917	0.0677
j:1	88	medial	has_after	e:1	19	24	0.7917	0	64	0.0000	0.7917
j:1	88	medial	next_is	e:1	13	24	0.5417	0	64	0.0000	0.5417
j:1	88	medial	has_after	c:1	11	24	0.4583	0	64	0.0000	0.4583
n:1	66	medial	has_prior	c:1	18	18	1.0000	0	48	0.0000	1.0000
n:1	66	initial	has_after	e:1	48	48	1.0000	18	18	1.0000	0.0000
n:1	66	initial	has_after	g:1	48	48	1.0000	18	18	1.0000	0.0000
n:1	66	medial	has_after	e:1	18	18	1.0000	48	48	1.0000	0.0000
n:1	66	medial	has_after	g:1	18	18	1.0000	48	48	1.0000	0.0000
n:1	66	medial	next_is	e:1	17	18	0.9444	45	48	0.9375	0.0069
n:1	66	initial	next_is	e:1	45	48	0.9375	17	18	0.9444	-0.0069
n:1	66	medial	has_prior	e:1	14	18	0.7778	0	48	0.0000	0.7778
n:1	66	medial	has_prior	a:1	10	18	0.5556	0	48	0.0000	0.5556
n:1	66	medial	has_prior	b:1	10	18	0.5556	0	48	0.0000	0.5556
k:1	47	medial	has_prior	e:1	46	47	0.9787	0	0	0.0000	0.9787
k:1	47	medial	has_after	f:1	45	47	0.9574	0	0	0.0000	0.9574
k:1	47	medial	next_is	f:1	45	47	0.9574	0	0	0.0000	0.9574
k:1	47	medial	has_after	d:1	44	47	0.9362	0	0	0.0000	0.9362
k:1	47	medial	has_after	i:1	44	47	0.9362	0	0	0.0000	0.9362
k:1	47	medial	ends_with	d:1	42	47	0.8936	0	0	0.0000	0.8936
k:1	47	medial	has_prior	f:1	42	47	0.8936	0	0	0.0000	0.8936
k:1	47	medial	prev_is	f:1	42	47	0.8936	0	0	0.0000	0.8936
k:1	47	medial	has_prior	c:1	39	47	0.8298	0	0	0.0000	0.8298
k:1	47	medial	starts_with	e:1	34	47	0.7234	0	0	0.0000	0.7234
k:1	47	medial	has_prior	h:2	25	47	0.5319	0	0	0.0000	0.5319
l:1	24	medial	has_after	f:1	24	24	1.0000	0	0	0.0000	1.0000
l:1	24	medial	has_prior	e:1	24	24	1.0000	0	0	0.0000	1.0000
l:1	24	medial	next_is	f:1	24	24	1.0000	0	0	0.0000	1.0000
l:1	24	medial	has_after	d:1	23	24	0.9583	0	0	0.0000	0.9583
l:1	24	medial	has_prior	f:1	23	24	0.9583	0	0	0.0000	0.9583
l:1	24	medial	has_after	i:1	22	24	0.9167	0	0	0.0000	0.9167
l:1	24	medial	ends_with	d:1	21	24	0.8750	0	0	0.0000	0.8750
l:1	24	medial	has_prior	c:1	21	24	0.8750	0	0	0.0000	0.8750
l:1	24	medial	prev_is	f:1	21	24	0.8750	0	0	0.0000	0.8750
l:1	24	medial	starts_with	e:1	19	24	0.7917	0	0	0.0000	0.7917
l:1	24	medial	has_prior	h:2	16	24	0.6667	0	0	0.0000	0.6667
