macro_signature	count	share	examples
e:1 a:1 e:1 MEDIAL_OP c:1 a:1 MEDIAL_OP d:1 MEDIAL_OP e:1 e:1 e:1 h:1	1	0.0027	p003-u069
e:1 a:1 e:1 MEDIAL_OP c:1 a:1 MEDIAL_OP d:1 MEDIAL_OP e:1 e:1 h:1	1	0.0027	p003-u076
e:1 a:1 e:1 MEDIAL_OP c:1 a:1 MEDIAL_OP d:1 MEDIAL_OP f:1 MEDIAL_OP d:1 e:1 c:1 h:2 e:1 f:1 e:1 MEDIAL_OP e:1 c:1	1	0.0027	p094-u040
e:1 a:1 e:1 MEDIAL_OP c:1 a:1 MEDIAL_OP d:1 n:1 e:1 MEDIAL_OP e:1 c:1 f:1 j:1	1	0.0027	p003-u122
e:1 a:1 e:1 MEDIAL_OP c:1 a:1 MEDIAL_OP d:1 n:1 e:1 MEDIAL_OP e:1 e:1 c:1 a:1 MEDIAL_OP c:1 a:1	1	0.0027	p094-u001
e:1 a:1 e:1 MEDIAL_OP c:1 a:1 MEDIAL_OP e:1 c:1 e:1 f:1 f:1 MEDIAL_OP d:1 e:1 h:1	1	0.0027	p003-u025
e:1 a:1 e:1 MEDIAL_OP c:1 a:1 MEDIAL_OP e:1 c:1 e:1 MEDIAL_OP d:1	1	0.0027	p003-u026
e:1 a:1 e:1 MEDIAL_OP c:1 a:1 MEDIAL_OP e:1 c:1 f:1 j:1	1	0.0027	p003-u172
e:1 a:1 e:1 MEDIAL_OP c:1 a:1 MEDIAL_OP e:1 c:1 f:1 j:1 e:1 c:1 h:2 e:1 f:1 f:1 MEDIAL_OP d:1	1	0.0027	p003-u174
e:1 a:1 e:1 MEDIAL_OP c:1 a:1 MEDIAL_OP e:1 e:1 f:1 f:1 MEDIAL_OP d:1 e:1 c:2 h:2 e:1 f:1 f:1 MEDIAL_OP d:1	1	0.0027	p003-u018
e:1 a:1 e:1 MEDIAL_OP c:1 a:1 MEDIAL_OP e:1 e:1 f:1 j:1 e:1 MEDIAL_OP d:1	1	0.0027	p003-u138
e:1 a:1 e:1 MEDIAL_OP c:1 a:1 MEDIAL_OP e:1 e:1 MEDIAL_OP d:1 e:1 e:1 MEDIAL_OP d:1	1	0.0027	p003-u007
e:1 a:1 e:1 MEDIAL_OP c:1 a:1 MEDIAL_OP e:1 f:1 c:1 f:1 MEDIAL_OP d:1	1	0.0027	p003-u032
e:1 a:1 MEDIAL_OP c:1 a:1 c:2 MEDIAL_OP e:1 e:1 e:1 h:1	1	0.0027	p094-u083
e:1 a:1 MEDIAL_OP c:1 a:1 d:1 MEDIAL_OP e:1 e:1 h:1	1	0.0027	p094-u003
e:1 a:1 MEDIAL_OP c:1 a:1 MEDIAL_OP d:1 c:1 a:1 MEDIAL_OP c:1 a:1 c:1 e:1 h:1	1	0.0027	p004-u031
e:1 a:1 MEDIAL_OP c:1 a:1 MEDIAL_OP d:1 e:1 f:1 f:1 MEDIAL_OP d:1	1	0.0027	p003-u171
e:1 a:1 MEDIAL_OP c:1 a:1 MEDIAL_OP d:1 MEDIAL_OP e:1 c:1 e:1 h:1	1	0.0027	p003-u045
e:1 a:1 MEDIAL_OP c:1 a:1 MEDIAL_OP d:1 MEDIAL_OP e:1 c:1 f:1 j:1	1	0.0027	p003-u061
e:1 a:1 MEDIAL_OP c:1 a:1 MEDIAL_OP d:1 MEDIAL_OP e:1 e:1 e:1 f:1 f:1 j:1 e:1 h:1	1	0.0027	p003-u130
e:1 a:1 MEDIAL_OP c:1 a:1 MEDIAL_OP d:1 MEDIAL_OP e:1 e:1 e:1 MEDIAL_OP d:1 e:1 f:1 MEDIAL_OP f:1 MEDIAL_OP d:1	1	0.0027	p003-u067
e:1 a:1 MEDIAL_OP c:1 a:1 MEDIAL_OP d:1 MEDIAL_OP e:1 e:1 f:1 MEDIAL_OP f:1 MEDIAL_OP d:1	1	0.0027	p003-u041
e:1 a:1 MEDIAL_OP c:1 a:1 MEDIAL_OP e:1 c:1 f:1 MEDIAL_OP d:1	1	0.0027	p003-u101
e:1 a:1 MEDIAL_OP c:1 a:1 MEDIAL_OP e:1 e:1 c:1 h:2 c:1 e:1 h:1	1	0.0027	p004-u016
e:1 a:1 MEDIAL_OP c:1 a:1 MEDIAL_OP e:1 e:1 c:1 h:2 e:1 h:1	1	0.0027	p094-u042
e:1 a:1 MEDIAL_OP c:1 a:1 MEDIAL_OP e:1 e:1 f:1 f:1 j:1	1	0.0027	p003-u159
e:1 a:1 MEDIAL_OP c:1 a:1 MEDIAL_OP e:1 e:1 f:1 MEDIAL_OP f:1 MEDIAL_OP d:1	1	0.0027	p003-u039
e:1 a:1 MEDIAL_OP c:1 a:1 MEDIAL_OP e:1 e:1 h:1 e:1 c:1 h:2 e:1 MEDIAL_OP	1	0.0027	p003-u133
e:1 c:1 h:2 a:1 MEDIAL_OP c:1 a:1 n:1 c:2 MEDIAL_OP e:1 e:1 e:1 e:1 h:1	1	0.0027	p004-u019
e:1 c:1 h:2 c:1 f:1 j:1 a:1 MEDIAL_OP c:1 a:1 e:1 h:1	1	0.0027	p004-u077
e:1 c:1 h:2 c:1 f:1 j:1 c:1	1	0.0027	p004-u059
e:1 c:1 h:2 c:1 f:1 j:1 e:1 MEDIAL_OP e:1 c:1 e:1 c:1 h:2 e:1 h:1	1	0.0027	p004-u061
e:1 c:1 h:2 c:1 MEDIAL_OP f:1 MEDIAL_OP d:1	1	0.0027	p003-u029
e:1 c:1 h:2 c:2 c:2 MEDIAL_OP e:1 c:1 f:1 MEDIAL_OP d:1	1	0.0027	p004-u080
e:1 c:1 h:2 c:2 MEDIAL_OP e:1 e:1 f:1 MEDIAL_OP f:1 MEDIAL_OP d:1	1	0.0027	p003-u197
e:1 c:1 h:2 e:1 f:1 c:1 e:1 a:1 MEDIAL_OP c:1 a:1 MEDIAL_OP e:1 c:1	1	0.0027	p003-u139
e:1 c:1 h:2 e:1 f:1 f:1 j:1 d:1	1	0.0027	p094-u055
e:1 c:1 h:2 e:1 f:1 f:1 MEDIAL_OP d:1 e:1 f:1 l:1 f:1 MEDIAL_OP d:1	1	0.0027	p003-u131
e:1 c:1 h:2 e:1 f:1 f:1 MEDIAL_OP f:1 MEDIAL_OP d:1	1	0.0027	p003-u146
e:1 c:1 h:2 e:1 f:1 l:1 f:1 j:1 d:1	1	0.0027	p094-u041
e:1 c:1 h:2 e:1 f:1 MEDIAL_OP e:1 c:1 h:2 e:1 h:1	1	0.0027	p094-u011
e:1 c:1 h:2 e:1 f:1 MEDIAL_OP f:1 j:1 d:1	1	0.0027	p094-u060
e:1 c:1 h:2 e:1 f:1 MEDIAL_OP f:1 MEDIAL_OP	1	0.0027	p003-u173
e:1 c:1 h:2 e:1 h:1	1	0.0027	p094-u058
e:1 c:1 h:2 e:1 h:1 e:1 c:1 h:2 e:1 h:1 e:1 c:1 h:2	1	0.0027	p003-u123
e:1 c:1 h:2 e:1 l:1 f:1 e:1 a:1 e:1 MEDIAL_OP c:1 a:1 c:2 MEDIAL_OP e:1 h:1	1	0.0027	p003-u125
e:1 c:1 h:2 e:1 MEDIAL_OP e:1 c:1 f:1 j:1	1	0.0027	p004-u012
e:1 c:1 h:2 e:1 MEDIAL_OP e:1 e:1 c:1	1	0.0027	p003-u183
e:1 c:1 h:2 e:1 MEDIAL_OP e:1 e:1 e:1 e:1 h:1	1	0.0027	p094-u081
e:1 c:1 h:2 e:1 MEDIAL_OP e:1 e:1 f:1 f:1 MEDIAL_OP d:1	1	0.0027	p003-u134
e:1 c:1 h:2 f:1 j:1 e:1 f:1 e:1 h:1	1	0.0027	p094-u046
e:1 c:1 h:2 f:1 MEDIAL_OP c:1 h:1 e:1 f:1	1	0.0027	p004-u027
e:1 c:1 h:2 n:1 e:1 c:1 MEDIAL_OP e:1 e:1 e:1 h:1	1	0.0027	p094-u008
e:1 c:1 h:2 n:1 e:1 MEDIAL_OP e:1 c:1 f:1 j:1 e:1 h:1	1	0.0027	p094-u028
e:1 c:1 h:2 n:1 e:1 MEDIAL_OP e:1 e:1 h:1	1	0.0027	p094-u077
e:1 c:2 h:2 c:1 e:1 MEDIAL_OP e:1 c:1 e:1 c:1 h:2	1	0.0027	p094-u038
e:1 c:2 h:2 e:1 f:1 f:1 MEDIAL_OP d:1 e:1 f:1 MEDIAL_OP f:1 MEDIAL_OP d:1	1	0.0027	p003-u027
e:1 c:2 h:2 e:1 f:1 MEDIAL_OP e:1 h:1	1	0.0027	p094-u013
e:1 c:2 h:2 e:1 f:1 MEDIAL_OP f:1 MEDIAL_OP d:1	1	0.0027	p094-u069
e:1 c:2 h:2 e:1 MEDIAL_OP f:1 MEDIAL_OP d:1	1	0.0027	p094-u052
e:1 f:1 a:1 MEDIAL_OP c:1 a:1 e:1 l:1 f:1 MEDIAL_OP d:1	1	0.0027	p003-u078
e:1 f:1 f:1 MEDIAL_OP c:1 h:1	1	0.0027	p004-u007
e:1 f:1 f:1 MEDIAL_OP d:1	1	0.0027	p003-u003
e:1 f:1 l:1 f:1 MEDIAL_OP d:1	1	0.0027	p003-u016
e:1 f:1 MEDIAL_OP f:1 MEDIAL_OP d:1	1	0.0027	p003-u020
e:1 h:1 a:1 e:1 MEDIAL_OP c:1 a:1 e:1 f:1 MEDIAL_OP f:1 MEDIAL_OP d:1	1	0.0027	p003-u004
e:1 h:1 a:1 MEDIAL_OP c:1 a:1 c:1 f:1 MEDIAL_OP d:1	1	0.0027	p003-u008
e:1 h:1 a:1 MEDIAL_OP c:1 a:1 e:1 e:1 c:1	1	0.0027	p004-u008
e:1 h:1 a:1 MEDIAL_OP c:1 a:1 e:1 f:1 f:1 j:1	1	0.0027	p003-u002
e:1 h:1 a:1 MEDIAL_OP c:1 a:1 e:1 f:1 l:1 f:1 MEDIAL_OP d:1	1	0.0027	p003-u070
e:1 h:1 a:1 MEDIAL_OP c:1 a:1 e:1 f:1 MEDIAL_OP f:1 MEDIAL_OP d:1	1	0.0027	p003-u023
e:1 h:1 e:1 c:1 h:2 e:1 f:1 f:1 MEDIAL_OP d:1 e:1 f:1 f:1 n:1 e:1 MEDIAL_OP e:1 e:1 h:1	1	0.0027	p003-u042
e:1 h:1 e:1 c:1 h:2 e:1 f:1 l:1 f:1 MEDIAL_OP d:1	1	0.0027	p003-u156
e:1 h:1 e:1 c:2 h:2 e:1 f:1 l:1 f:1 MEDIAL_OP d:1	1	0.0027	p003-u066
e:1 h:1 e:1 MEDIAL_OP e:1 e:1 e:1 e:1 h:1	1	0.0027	p003-u175
e:1 MEDIAL_OP c:2 e:1 h:1	1	0.0027	p094-u033
e:1 MEDIAL_OP d:1 c:1 e:1 MEDIAL_OP e:1 e:1 e:1 h:1	1	0.0027	p004-u028
e:1 MEDIAL_OP d:1 c:1 f:1 MEDIAL_OP d:1 e:1 h:1	1	0.0027	p003-u010
e:1 MEDIAL_OP d:1 e:1 a:1 e:1 MEDIAL_OP c:1 a:1 MEDIAL_OP e:1 e:1 h:1	1	0.0027	p003-u081
e:1 MEDIAL_OP d:1 e:1 f:1 l:1 f:1 MEDIAL_OP d:1 e:1 h:1	1	0.0027	p003-u037
e:1 MEDIAL_OP d:1 e:1 f:1 MEDIAL_OP f:1 MEDIAL_OP d:1	1	0.0027	p094-u037
e:1 MEDIAL_OP d:1 e:1 MEDIAL_OP e:1 c:1 e:1 c:1 h:2 e:1 h:1	1	0.0027	p004-u088
e:1 MEDIAL_OP e:1 a:1 MEDIAL_OP c:1 a:1 e:1 f:1 MEDIAL_OP f:1 MEDIAL_OP d:1	1	0.0027	p003-u014
e:1 MEDIAL_OP e:1 c:1 a:1 c:1	1	0.0027	p003-u194
e:1 MEDIAL_OP e:1 c:1 a:1 c:2 MEDIAL_OP c:1 a:1 e:1 MEDIAL_OP e:1 c:1 f:1 j:1 a:1 MEDIAL_OP c:1 a:1 c:2 MEDIAL_OP e:1 e:1 e:1 h:1	1	0.0027	p094-u056
e:1 MEDIAL_OP e:1 c:1 a:1 e:1 MEDIAL_OP c:1 a:1 e:1 e:1 h:1	1	0.0027	p003-u196
e:1 MEDIAL_OP e:1 c:1 a:1 MEDIAL_OP c:1 a:1 e:1 c:1	1	0.0027	p004-u025
e:1 MEDIAL_OP e:1 c:1 a:1 MEDIAL_OP c:1 a:1 e:1 MEDIAL_OP e:1 e:1 e:1 h:1	1	0.0027	p004-u085
e:1 MEDIAL_OP e:1 c:1 e:1 a:1 e:1 MEDIAL_OP c:1 a:1 MEDIAL_OP e:1 e:1 h:1	1	0.0027	p003-u054
e:1 MEDIAL_OP e:1 c:1 e:1 a:1 MEDIAL_OP c:1 a:1 MEDIAL_OP d:1 e:1 MEDIAL_OP e:1 e:1 h:1	1	0.0027	p094-u005
e:1 MEDIAL_OP e:1 c:1 e:1 c:1 h:2 c:1	1	0.0027	p004-u047
e:1 MEDIAL_OP e:1 c:1 e:1 c:2 h:2 e:1 f:1 l:1 f:1 MEDIAL_OP d:1	1	0.0027	p003-u093
e:1 MEDIAL_OP e:1 c:1 e:1 MEDIAL_OP e:1 e:1 h:1	1	0.0027	p094-u068
e:1 MEDIAL_OP e:1 c:1 f:1 j:1 n:1 e:1 MEDIAL_OP e:1 c:1	1	0.0027	p094-u004
e:1 MEDIAL_OP e:1 e:1	1	0.0027	p094-u044
e:1 MEDIAL_OP e:1 e:1 a:1 MEDIAL_OP a:1 c:2 e:1 h:1	1	0.0027	p094-u075
e:1 MEDIAL_OP e:1 e:1 a:1 MEDIAL_OP c:1 a:1 e:1 f:1 l:1 f:1 MEDIAL_OP d:1	1	0.0027	p003-u120
e:1 MEDIAL_OP e:1 e:1 c:1 f:1 j:1	1	0.0027	p004-u054
e:1 MEDIAL_OP e:1 e:1 c:1 h:2 f:1 j:1 e:1 a:1 e:1 MEDIAL_OP c:1 a:1 e:1 h:1	1	0.0027	p094-u079
e:1 MEDIAL_OP e:1 e:1 e:1 f:1 f:1 MEDIAL_OP d:1	1	0.0027	p003-u038
e:1 MEDIAL_OP e:1 e:1 f:1 MEDIAL_OP f:1 MEDIAL_OP d:1	1	0.0027	p094-u080
e:1 MEDIAL_OP e:1 e:1 h:1 a:1 MEDIAL_OP c:1 a:1 e:1 h:1	1	0.0027	p094-u067
f:1 j:1 c:1 f:1 j:1	1	0.0027	p004-u048
n:1 c:1 MEDIAL_OP e:1 h:1 n:1 e:1 MEDIAL_OP e:1 c:1 f:1 j:1	1	0.0027	p003-u044
n:1 c:2 MEDIAL_OP e:1 c:1 a:1 MEDIAL_OP c:1 a:1 e:1 MEDIAL_OP e:1 e:1 e:1 e:1	1	0.0027	p003-u149
n:1 c:2 MEDIAL_OP e:1 e:1 h:1 a:1 e:1 MEDIAL_OP c:1 a:1 MEDIAL_OP d:1 e:1 MEDIAL_OP c:1 a:1 e:1 MEDIAL_OP c:1 a:1 c:1 f:1 j:1	1	0.0027	p003-u137
n:1 e:1 MEDIAL_OP e:1	1	0.0027	p004-u073
n:1 e:1 MEDIAL_OP e:1 a:1 e:1 MEDIAL_OP c:1 a:1 c:1 f:1 MEDIAL_OP d:1	1	0.0027	p003-u191
n:1 e:1 MEDIAL_OP e:1 c:1 a:1 MEDIAL_OP c:1 a:1	1	0.0027	p003-u140
n:1 e:1 MEDIAL_OP e:1 c:1 e:1 c:1 h:2	1	0.0027	p003-u024
n:1 e:1 MEDIAL_OP e:1 c:1 e:1 c:1 h:2 e:1 f:1 f:1 MEDIAL_OP d:1 e:1 h:1	1	0.0027	p003-u049
n:1 e:1 MEDIAL_OP e:1 c:1 e:1 c:2 h:2 e:1 f:1 l:1 f:1 MEDIAL_OP d:1	1	0.0027	p003-u079
n:1 e:1 MEDIAL_OP e:1 c:1 e:1 f:1 MEDIAL_OP f:1 MEDIAL_OP d:1	1	0.0027	p003-u168
n:1 e:1 MEDIAL_OP e:1 c:1 e:1 h:1	1	0.0027	p003-u083
n:1 e:1 MEDIAL_OP e:1 c:1 e:1 MEDIAL_OP d:1	1	0.0027	p003-u060
n:1 e:1 MEDIAL_OP e:1 c:1 f:1 j:1 e:1 c:2 h:2 e:1 h:1	1	0.0027	p003-u009
n:1 e:1 MEDIAL_OP e:1 e:1	1	0.0027	p003-u128
n:1 e:1 MEDIAL_OP e:1 e:1 a:1 e:1 MEDIAL_OP c:1 a:1 MEDIAL_OP e:1 e:1 f:1 MEDIAL_OP f:1 MEDIAL_OP d:1	1	0.0027	p003-u135
n:1 e:1 MEDIAL_OP e:1 e:1 a:1 MEDIAL_OP c:1 a:1 e:1 h:1	1	0.0027	p003-u021
n:1 e:1 MEDIAL_OP e:1 e:1 a:1 MEDIAL_OP c:1 a:1 MEDIAL_OP e:1 e:1 e:1 h:1	1	0.0027	p003-u100
n:1 e:1 MEDIAL_OP e:1 e:1 c:1	1	0.0027	p003-u121
n:1 e:1 MEDIAL_OP e:1 e:1 e:1 e:1 MEDIAL_OP d:1	1	0.0027	p094-u029
n:1 e:1 MEDIAL_OP e:1 e:1 e:1 f:1 f:1 MEDIAL_OP d:1	1	0.0027	p003-u161
n:1 e:1 MEDIAL_OP e:1 e:1 f:1 f:1 MEDIAL_OP d:1	1	0.0027	p003-u015
n:1 e:1 MEDIAL_OP e:1 e:1 f:1 MEDIAL_OP f:1 MEDIAL_OP d:1	1	0.0027	p003-u148
n:1 e:1 MEDIAL_OP e:1 e:1 MEDIAL_OP d:1	1	0.0027	p003-u047
n:1 e:1 MEDIAL_OP e:1 f:1 MEDIAL_OP d:1 c:1 e:1 h:1	1	0.0027	p003-u006
