signature	count	atom_count	folios	folio_count	images	example_molecules
e:1 a:1 b:1 c:1 a:1 g:1 e:1 e:1 f:1 f:1 i:1 d:1	1	12	f1r	1	page-003.jpg	p003-m011
e:1 a:1 b:1 c:1 a:1 g:1 e:1 e:1 h:1	1	9	f2r	1	page-005.jpg	p005-m045
e:1 a:1 b:1 c:1 a:1 g:1 e:1 e:1 h:1 e:1 c:1 h:2 e:1 i:1	1	14	f1r	1	page-003.jpg	p003-m133
e:1 a:1 e:1 b:1 c:1 a:1 b:1 d:1 c:1 f:1 j:1	1	11	f1v	1	page-004.jpg	p004-m089
e:1 a:1 e:1 b:1 c:1 a:1 b:1 d:1 g:1 e:1 c:1	1	11	f1r	1	page-003.jpg	p003-m147
e:1 a:1 e:1 b:1 c:1 a:1 b:1 d:1 g:1 e:1 c:1 e:1 c:1 h:2 e:1 f:1 f:1 j:1 e:1 e:1 i:1 d:1	1	22	f1r	1	page-003.jpg	p003-m072
e:1 a:1 e:1 b:1 c:1 a:1 b:1 d:1 g:1 e:1 c:1 e:1 c:1 h:2 e:1 f:1 k:1 f:1 j:1 e:1 i:1 d:1	1	22	f1r	1	page-003.jpg	p003-m086
e:1 a:1 e:1 b:1 c:1 a:1 b:1 d:1 g:1 e:1 c:1 e:1 f:1 f:1 j:1	1	15	f1v	1	page-004.jpg	p004-m034
e:1 a:1 e:1 b:1 c:1 a:1 b:1 d:1 g:1 e:1 c:1 e:1 f:1 k:1 f:1 i:1 d:1	1	17	f1r	1	page-003.jpg	p003-m048
e:1 a:1 e:1 b:1 c:1 a:1 b:1 d:1 g:1 e:1 e:1 e:1 h:1	1	13	f1r	1	page-003.jpg	p003-m069
e:1 a:1 e:1 b:1 c:1 a:1 b:1 d:1 g:1 e:1 e:1 h:1	1	12	f1r	1	page-003.jpg	p003-m076
e:1 a:1 e:1 b:1 c:1 a:1 b:1 d:1 k:1 f:1 i:1 d:1 e:1 c:1 h:2 e:1 f:1 e:1 g:1 e:1 c:1	1	21	f47v	1	page-094.jpg	p094-m040
e:1 a:1 e:1 b:1 c:1 a:1 b:1 d:1 n:1 e:1 c:1 h:2 e:1 g:1 e:1 e:1 e:1 h:1 e:1 h:1 e:1 e:1 e:1 h:1	1	24	f1r	1	page-003.jpg	p003-m152
e:1 a:1 e:1 b:1 c:1 a:1 b:1 d:1 n:1 e:1 g:1 e:1 c:1 f:1 j:1	1	15	f1r	1	page-003.jpg	p003-m122
e:1 a:1 e:1 b:1 c:1 a:1 b:1 d:1 n:1 e:1 g:1 e:1 e:1 c:1 a:1 m:1 c:1 a:1	1	18	f47v	1	page-094.jpg	p094-m001
e:1 a:1 e:1 b:1 c:1 a:1 e:1 g:1 e:1 e:1 h:1	1	11	f1r	1	page-003.jpg	p003-m080
e:1 a:1 e:1 b:1 c:1 a:1 g:1 c:1	1	8	f2r	1	page-005.jpg	p005-m014
e:1 a:1 e:1 b:1 c:1 a:1 g:1 e:1 c:1 e:1 f:1 f:1 i:1 d:1 e:1 h:1	1	16	f1r	1	page-003.jpg	p003-m025
e:1 a:1 e:1 b:1 c:1 a:1 g:1 e:1 c:1 e:1 i:1 d:1	1	12	f1r	1	page-003.jpg	p003-m026
e:1 a:1 e:1 b:1 c:1 a:1 g:1 e:1 c:1 f:1 i:1 d:1	1	12	f2r	1	page-005.jpg	p005-m093
e:1 a:1 e:1 b:1 c:1 a:1 g:1 e:1 c:1 f:1 j:1	1	11	f1r	1	page-003.jpg	p003-m171
e:1 a:1 e:1 b:1 c:1 a:1 g:1 e:1 c:1 f:1 j:1 e:1 c:1 h:2 e:1 f:1 f:1 i:1 d:1	1	19	f1r	1	page-003.jpg	p003-m173
e:1 a:1 e:1 b:1 c:1 a:1 g:1 e:1 e:1 e:1 h:1	1	11	f2r	1	page-005.jpg	p005-m077
e:1 a:1 e:1 b:1 c:1 a:1 g:1 e:1 e:1 e:1 h:1 e:1 h:1	1	13	f2r	1	page-005.jpg	p005-m016
e:1 a:1 e:1 b:1 c:1 a:1 g:1 e:1 e:1 f:1 f:1 i:1 d:1 e:1 c:2 h:2 e:1 f:1 f:1 i:1 d:1	1	21	f1r	1	page-003.jpg	p003-m018
e:1 a:1 e:1 b:1 c:1 a:1 g:1 e:1 e:1 f:1 j:1 e:1 i:1 d:1	1	14	f1r	1	page-003.jpg	p003-m138
e:1 a:1 e:1 b:1 c:1 a:1 g:1 e:1 e:1 i:1 d:1 e:1 e:1 i:1 d:1	1	15	f1r	1	page-003.jpg	p003-m007
e:1 a:1 e:1 b:1 c:1 a:1 g:1 e:1 f:1 c:1 f:1 i:1 d:1	1	13	f1r	1	page-003.jpg	p003-m032
e:1 a:1 m:1 c:1 a:1 b:1 d:1 g:1 e:1 c:1 e:1 h:1	1	12	f1r	1	page-003.jpg	p003-m045
e:1 a:1 m:1 c:1 a:1 b:1 d:1 g:1 e:1 e:1 e:1 f:1 f:1 j:1 e:1 h:1	1	16	f1r	1	page-003.jpg	p003-m130
e:1 a:1 m:1 c:1 a:1 b:1 d:1 g:1 e:1 e:1 e:1 i:1 d:1 e:1 f:1 k:1 f:1 i:1 d:1	1	19	f1r	1	page-003.jpg	p003-m067
e:1 a:1 m:1 c:1 a:1 b:1 d:1 g:1 e:1 e:1 f:1 f:1 i:1 d:1	1	14	f1r	1	page-003.jpg	p003-m040
e:1 a:1 m:1 c:1 a:1 b:1 d:1 g:1 e:1 e:1 h:1	1	11	f2r	1	page-005.jpg	p005-m024
e:1 a:1 m:1 c:1 a:1 c:2 g:1 e:1 e:1 e:1 h:1	1	11	f47v	1	page-094.jpg	p094-m083
e:1 a:1 m:1 c:1 a:1 d:1 g:1 e:1 e:1 h:1	1	10	f47v	1	page-094.jpg	p094-m003
e:1 a:1 m:1 c:1 a:1 g:1 e:1 e:1 c:1 h:2 e:1 h:1	1	12	f47v	1	page-094.jpg	p094-m042
e:1 a:1 m:1 c:1 a:1 g:1 e:1 e:1 e:1 h:1	1	10	f1v	1	page-004.jpg	p004-m056
e:1 a:1 m:1 c:1 a:1 g:1 e:1 e:1 f:1 f:1 j:1	1	11	f1r	1	page-003.jpg	p003-m158
e:1 a:1 m:1 c:1 a:1 g:1 e:1 e:1 f:1 k:1 f:1 i:1 d:1	1	13	f1r	1	page-003.jpg	p003-m039
e:1 c:1 h:2 a:1 b:1 c:1 a:1 c:1 f:1 j:1	1	10	f2r	1	page-005.jpg	p005-m037
e:1 c:1 h:2 a:1 b:1 c:1 a:1 n:1 c:2 g:1 e:1 e:1 e:1 e:1 h:1	1	15	f1v	1	page-004.jpg	p004-m019
e:1 c:1 h:2 c:1 f:1 i:1 d:1 e:1 g:1 e:1 c:1 f:1 i:1 d:1 e:1 h:1	1	16	f2r	1	page-005.jpg	p005-m009
e:1 c:1 h:2 c:1 f:1 j:1 a:1 b:1 c:1 a:1 e:1 h:1	1	12	f1v	1	page-004.jpg	p004-m077
e:1 c:1 h:2 c:1 f:1 j:1 c:1	1	7	f1v	1	page-004.jpg	p004-m059
e:1 c:1 h:2 c:1 f:1 j:1 e:1 g:1 e:1 c:1 e:1 c:1 h:2 e:1 h:1	1	15	f1v	1	page-004.jpg	p004-m061
e:1 c:1 h:2 c:1 k:1 f:1 i:1 d:1	1	8	f1r	1	page-003.jpg	p003-m029
e:1 c:1 h:2 c:2 c:2 g:1 e:1 c:1 f:1 i:1 d:1	1	11	f1v	1	page-004.jpg	p004-m080
e:1 c:1 h:2 c:2 g:1 e:1 e:1 f:1 k:1 f:1 i:1 d:1	1	12	f1r	1	page-003.jpg	p003-m196
e:1 c:1 h:2 e:1 c:1 h:2 e:1 c:1 h:2 e:1 h:1 e:1 h:1	1	13	f1r	1	page-003.jpg	p003-m123
e:1 c:1 h:2 e:1 f:1 c:1 e:1 a:1 b:1 c:1 a:1 g:1 e:1 c:1	1	14	f1r	1	page-003.jpg	p003-m139
e:1 c:1 h:2 e:1 f:1 f:1 i:1 d:1 e:1 f:1 l:1 f:1 i:1 d:1	1	14	f1r	1	page-003.jpg	p003-m131
e:1 c:1 h:2 e:1 f:1 f:1 i:1 d:1 l:1 f:1 i:1 d:1	1	12	f2r	1	page-005.jpg	p005-m070
e:1 c:1 h:2 e:1 f:1 f:1 j:1 c:1 f:1 i:1 d:1	1	11	f2r	1	page-005.jpg	p005-m084
e:1 c:1 h:2 e:1 f:1 f:1 j:1 d:1	1	8	f47v	1	page-094.jpg	p094-m055
e:1 c:1 h:2 e:1 f:1 f:1 j:1 e:1 i:1 d:1	1	10	f2r	1	page-005.jpg	p005-m025
e:1 c:1 h:2 e:1 f:1 f:1 k:1 f:1 i:1 d:1	1	10	f1r	1	page-003.jpg	p003-m146
e:1 c:1 h:2 e:1 f:1 k:1 e:1 c:1 h:2 e:1 h:1	1	11	f47v	1	page-094.jpg	p094-m011
e:1 c:1 h:2 e:1 f:1 k:1 f:1 i:1	1	8	f1r	1	page-003.jpg	p003-m172
e:1 c:1 h:2 e:1 f:1 k:1 f:1 i:1 d:1 c:1 f:1 j:1	1	12	f2r	1	page-005.jpg	p005-m058
e:1 c:1 h:2 e:1 f:1 k:1 f:1 i:1 d:1 e:1 h:1	1	11	f2r	1	page-005.jpg	p005-m046
e:1 c:1 h:2 e:1 f:1 k:1 f:1 j:1 d:1	1	9	f47v	1	page-094.jpg	p094-m060
e:1 c:1 h:2 e:1 f:1 k:1 f:1 j:1 e:1 c:1 h:2 e:1 h:1	1	13	f2r	1	page-005.jpg	p005-m057
e:1 c:1 h:2 e:1 f:1 l:1 f:1 i:1 d:1 e:1 c:1 h:2	1	12	f2r	1	page-005.jpg	p005-m036
e:1 c:1 h:2 e:1 f:1 l:1 f:1 j:1 d:1	1	9	f47v	1	page-094.jpg	p094-m041
e:1 c:1 h:2 e:1 g:1 e:1 e:1 c:1	1	8	f1r	1	page-003.jpg	p003-m182
e:1 c:1 h:2 e:1 g:1 e:1 e:1 e:1 e:1 h:1	1	10	f47v	1	page-094.jpg	p094-m081
e:1 c:1 h:2 e:1 g:1 e:1 e:1 f:1 f:1 i:1 d:1	1	11	f1r	1	page-003.jpg	p003-m134
e:1 c:1 h:2 e:1 h:1	1	5	f47v	1	page-094.jpg	p094-m058
e:1 c:1 h:2 e:1 l:1 f:1 e:1 a:1 e:1 b:1 c:1 a:1 c:2 g:1 e:1 h:1	1	16	f1r	1	page-003.jpg	p003-m125
e:1 c:1 h:2 f:1 i:1 c:1 h:1 e:1 f:1	1	9	f1v	1	page-004.jpg	p004-m027
e:1 c:1 h:2 f:1 j:1 e:1 f:1 e:1 h:1	1	9	f47v	1	page-094.jpg	p094-m046
e:1 c:1 h:2 f:1 j:1 e:1 i:1 d:1 n:1 e:1 g:1 e:1 c:1	1	13	f2r	1	page-005.jpg	p005-m059
e:1 c:1 h:2 n:1 e:1 c:1 g:1 e:1 e:1 e:1 h:1	1	11	f47v	1	page-094.jpg	p094-m008
e:1 c:1 h:2 n:1 e:1 g:1 e:1 c:1 f:1 j:1 e:1 h:1	1	12	f47v	1	page-094.jpg	p094-m028
e:1 c:1 h:2 n:1 e:1 g:1 e:1 e:1 h:1	1	9	f47v	1	page-094.jpg	p094-m077
e:1 c:2 h:2 c:1 e:1 g:1 e:1 c:1 e:1 c:1 h:2	1	11	f47v	1	page-094.jpg	p094-m038
e:1 c:2 h:2 e:1 f:1 f:1 i:1 d:1 e:1 f:1 k:1 f:1 i:1 d:1	1	14	f1r	1	page-003.jpg	p003-m027
e:1 c:2 h:2 e:1 f:1 k:1 e:1 h:1	1	8	f47v	1	page-094.jpg	p094-m013
e:1 c:2 h:2 e:1 f:1 k:1 f:1 i:1 d:1	1	9	f47v	1	page-094.jpg	p094-m069
e:1 c:2 h:2 e:1 k:1 f:1 i:1 d:1	1	8	f47v	1	page-094.jpg	p094-m052
e:1 f:1 a:1 b:1 c:1 a:1 e:1 l:1 f:1 i:1 d:1	1	11	f1r	1	page-003.jpg	p003-m078
e:1 f:1 f:1 i:1 c:1 h:1	1	6	f1v	1	page-004.jpg	p004-m007
e:1 f:1 l:1 f:1 e:1 c:1 h:2 e:1 h:1	1	9	f2r	1	page-005.jpg	p005-m022
e:1 f:1 l:1 f:1 i:1 d:1	1	6	f1r	1	page-003.jpg	p003-m016
e:1 g:1 e:1 a:1 b:1 c:1 a:1 e:1 f:1 f:1 i:1 d:1 e:1 i:1 d:1	1	15	f2r	1	page-005.jpg	p005-m010
e:1 g:1 e:1 a:1 m:1 c:1 a:1 c:1 e:1 c:1 h:2 e:1 c:1 h:2 e:1 h:1	1	16	f2r	1	page-005.jpg	p005-m023
e:1 g:1 e:1 a:1 m:1 c:1 a:1 e:1 f:1 k:1 f:1 i:1 d:1	1	13	f1r	1	page-003.jpg	p003-m014
e:1 g:1 e:1 c:1 a:1 b:1 c:1 a:1 e:1 c:1	1	10	f1v	1	page-004.jpg	p004-m025
e:1 g:1 e:1 c:1 a:1 b:1 c:1 a:1 e:1 f:1 k:1 f:1 i:1 d:1 e:1 c:1 h:2	1	17	f2r	1	page-005.jpg	p005-m026
e:1 g:1 e:1 c:1 a:1 b:1 c:1 a:1 e:1 h:1	1	10	f1v	1	page-004.jpg	p004-m040
e:1 g:1 e:1 c:1 a:1 c:1	1	6	f1r	1	page-003.jpg	p003-m193
e:1 g:1 e:1 c:1 a:1 c:2 b:1 c:1 a:1 e:1 g:1 e:1 c:1 f:1 j:1 a:1 m:1 c:1 a:1 c:2 g:1 e:1 e:1 e:1 h:1	1	25	f47v	1	page-094.jpg	p094-m056
e:1 g:1 e:1 c:1 a:1 e:1 b:1 c:1 a:1 e:1 e:1 h:1	1	12	f1r	1	page-003.jpg	p003-m195
e:1 g:1 e:1 c:1 a:1 m:1 c:1 a:1 e:1 g:1 e:1 e:1 e:1 h:1	1	14	f1v	1	page-004.jpg	p004-m085
e:1 g:1 e:1 c:1 a:1 m:1 c:1 a:1 e:1 h:1	1	10	f1r	1	page-003.jpg	p003-m194
e:1 g:1 e:1 c:1 e:1 a:1 b:1 c:1 a:1 b:1 d:1 e:1 g:1 e:1 e:1 h:1	1	16	f47v	1	page-094.jpg	p094-m005
e:1 g:1 e:1 c:1 e:1 a:1 e:1 b:1 c:1 a:1 g:1 e:1 e:1 h:1	1	14	f1r	1	page-003.jpg	p003-m054
e:1 g:1 e:1 c:1 e:1 c:1 h:2 c:1	1	8	f1v	1	page-004.jpg	p004-m047
e:1 g:1 e:1 c:1 e:1 c:2 h:2 e:1 f:1 l:1 f:1 i:1 d:1	1	13	f1r	1	page-003.jpg	p003-m093
e:1 g:1 e:1 c:1 e:1 g:1 e:1 e:1 h:1	1	9	f47v	1	page-094.jpg	p094-m068
e:1 g:1 e:1 c:1 f:1 j:1 e:1 c:1 h:2 e:1 f:1 f:1 i:1 d:1	1	14	f2r	1	page-005.jpg	p005-m047
e:1 g:1 e:1 c:1 f:1 j:1 e:1 f:1 k:1 f:1 i:1 d:1	1	12	f2r	1	page-005.jpg	p005-m072
e:1 g:1 e:1 c:1 f:1 j:1 n:1 e:1 g:1 e:1 c:1	1	11	f47v	1	page-094.jpg	p094-m004
e:1 g:1 e:1 e:1	1	4	f47v	1	page-094.jpg	p094-m044
e:1 g:1 e:1 e:1 a:1 b:1 a:1 c:2 e:1 h:1	1	10	f47v	1	page-094.jpg	p094-m075
e:1 g:1 e:1 e:1 a:1 b:1 c:1 a:1 e:1 f:1 l:1 f:1 i:1 d:1	1	14	f1r	1	page-003.jpg	p003-m120
e:1 g:1 e:1 e:1 a:1 e:1 b:1 c:1 a:1 g:1 e:1 e:1 h:1	1	13	f2r	1	page-005.jpg	p005-m104
e:1 g:1 e:1 e:1 c:1 f:1 j:1	1	7	f1v	1	page-004.jpg	p004-m054
e:1 g:1 e:1 e:1 c:1 h:2 f:1 j:1 e:1 a:1 e:1 b:1 c:1 a:1 e:1 h:1	1	16	f47v	1	page-094.jpg	p094-m079
e:1 g:1 e:1 e:1 e:1 f:1 f:1 i:1 d:1	1	9	f1r	1	page-003.jpg	p003-m038
e:1 g:1 e:1 e:1 h:1 a:1 b:1 c:1 a:1 e:1 h:1	1	11	f47v	1	page-094.jpg	p094-m067
e:1 g:1 e:1 e:1 h:1 a:1 b:1 c:1 a:1 e:1 h:1 d:1 e:1 j:1 e:1 f:1 f:1 j:1	1	18	f2r	1	page-005.jpg	p005-m099
e:1 h:1 a:1 b:1 c:1 a:1 c:1 e:1 c:1 h:2 e:1 h:1	1	12	f2r	1	page-005.jpg	p005-m064
e:1 h:1 a:1 b:1 c:1 a:1 c:1 f:1 i:1 d:1	1	10	f1r	1	page-003.jpg	p003-m008
e:1 h:1 a:1 b:1 c:1 a:1 e:1 f:1 f:1 j:1	1	10	f1r	1	page-003.jpg	p003-m002
e:1 h:1 a:1 b:1 c:1 a:1 e:1 f:1 k:1 f:1 i:1 d:1	1	12	f1r	1	page-003.jpg	p003-m023
e:1 h:1 a:1 b:1 c:1 a:1 e:1 h:1	1	8	f2r	1	page-005.jpg	p005-m067
e:1 h:1 a:1 e:1 b:1 c:1 a:1 e:1 f:1 k:1 f:1 i:1 d:1	1	13	f1r	1	page-003.jpg	p003-m004
e:1 h:1 a:1 e:1 b:1 c:1 a:1 e:1 g:1 e:1 e:1 f:1 k:1 f:1 i:1 d:1	1	16	f2r	1	page-005.jpg	p005-m033
e:1 h:1 a:1 m:1 c:1 a:1 b:1 d:1	1	8	f2r	1	page-005.jpg	p005-m002
e:1 h:1 a:1 m:1 c:1 a:1 c:1 f:1 j:1 e:1 c:1 h:2 e:1 h:1	1	14	f2r	1	page-005.jpg	p005-m039
e:1 h:1 a:1 m:1 c:1 a:1 e:1 e:1 c:1	1	9	f1v	1	page-004.jpg	p004-m008
e:1 h:1 a:1 m:1 c:1 a:1 e:1 f:1 l:1 f:1 i:1 d:1	1	12	f1r	1	page-003.jpg	p003-m070
e:1 h:1 e:1 a:1 b:1 c:1 a:1 e:1 e:1 h:1	1	10	f2r	1	page-005.jpg	p005-m101
e:1 h:1 e:1 c:1 h:2 e:1 f:1 f:1 i:1 d:1 e:1 f:1 f:1 n:1 e:1 g:1 e:1 e:1 h:1	1	19	f1r	1	page-003.jpg	p003-m042
e:1 h:1 e:1 c:1 h:2 e:1 f:1 l:1 f:1 i:1 d:1	1	11	f1r	1	page-003.jpg	p003-m155
e:1 h:1 e:1 c:1 h:2 e:1 h:1	1	7	f2r	1	page-005.jpg	p005-m019
e:1 h:1 e:1 c:2 h:2 e:1 f:1 l:1 f:1 i:1 d:1	1	11	f1r	1	page-003.jpg	p003-m066
e:1 h:1 e:1 g:1 e:1 e:1 e:1 e:1 h:1	1	9	f1r	1	page-003.jpg	p003-m174
e:1 h:1 e:1 g:1 e:1 e:1 f:1 l:1 f:1 i:1 d:1	1	11	f2r	1	page-005.jpg	p005-m081
e:1 i:1 c:2 e:1 h:1	1	5	f47v	1	page-094.jpg	p094-m033
e:1 i:1 d:1 c:1	1	4	f2r	1	page-005.jpg	p005-m065
e:1 i:1 d:1 c:1 e:1 g:1 e:1 e:1 e:1 h:1	1	10	f1v	1	page-004.jpg	p004-m028
e:1 i:1 d:1 c:1 f:1 i:1 d:1	1	7	f2r	1	page-005.jpg	p005-m038
e:1 i:1 d:1 c:1 f:1 i:1 d:1 e:1 h:1	1	9	f1r	1	page-003.jpg	p003-m010
e:1 i:1 d:1 e:1 a:1 e:1 b:1 c:1 a:1 g:1 e:1 e:1 h:1	1	13	f1r	1	page-003.jpg	p003-m081
e:1 i:1 d:1 e:1 f:1 l:1 f:1 i:1 d:1 e:1 h:1	1	11	f1r	1	page-003.jpg	p003-m037
e:1 i:1 d:1 e:1 g:1 e:1 c:1 e:1 c:1 h:2 e:1 h:1	1	12	f1v	1	page-004.jpg	p004-m088
f:1 j:1 c:1 f:1 j:1	1	5	f1v	1	page-004.jpg	p004-m048
f:1 j:1 e:1 f:1	1	4	f2r	1	page-005.jpg	p005-m028
m:1 a:1 n:1 c:1 i:1 a:1 b:1 c:1 a:1 e:1 h:1	1	11	f2r	1	page-005.jpg	p005-m071
n:1 c:1 g:1 e:1 h:1 n:1 e:1 g:1 e:1 c:1 f:1 j:1	1	12	f1r	1	page-003.jpg	p003-m044
n:1 c:2 g:1 e:1 c:1 a:1 b:1 c:1 a:1 e:1 g:1 e:1 e:1 e:1 e:1	1	15	f1r	1	page-003.jpg	p003-m149
n:1 c:2 g:1 e:1 e:1 h:1 a:1 e:1 b:1 c:1 a:1 b:1 d:1 e:1 b:1 c:1 a:1 e:1 b:1 c:1 a:1 c:1 f:1 j:1	1	24	f1r	1	page-003.jpg	p003-m137
n:1 e:1 g:1 c:1	1	4	f2r	1	page-005.jpg	p005-m021
n:1 e:1 g:1 e:1 a:1 e:1 b:1 c:1 a:1 c:1 f:1 i:1 d:1	1	13	f1r	1	page-003.jpg	p003-m190
n:1 e:1 g:1 e:1 c:1 a:1 b:1 c:1 a:1	1	9	f1r	1	page-003.jpg	p003-m140
n:1 e:1 g:1 e:1 c:1 e:1 c:1 h:2	1	8	f1r	1	page-003.jpg	p003-m024
n:1 e:1 g:1 e:1 c:1 e:1 c:1 h:2 e:1 f:1 f:1 i:1 d:1 e:1 h:1	1	15	f1r	1	page-003.jpg	p003-m049
n:1 e:1 g:1 e:1 c:1 e:1 c:2 h:2 e:1 f:1 l:1 f:1 i:1 d:1	1	14	f1r	1	page-003.jpg	p003-m079
n:1 e:1 g:1 e:1 c:1 e:1 f:1 k:1 f:1 i:1 d:1	1	11	f1r	1	page-003.jpg	p003-m167
n:1 e:1 g:1 e:1 c:1 e:1 h:1	1	7	f1r	1	page-003.jpg	p003-m083
n:1 e:1 g:1 e:1 c:1 e:1 i:1 d:1	1	8	f1r	1	page-003.jpg	p003-m060
n:1 e:1 g:1 e:1 c:1 f:1 j:1 e:1 c:2 h:2 e:1 h:1	1	12	f1r	1	page-003.jpg	p003-m009
n:1 e:1 g:1 e:1 e:1	1	5	f1r	1	page-003.jpg	p003-m128
n:1 e:1 g:1 e:1 e:1 a:1 b:1 c:1 a:1 e:1 h:1	1	11	f1r	1	page-003.jpg	p003-m021
n:1 e:1 g:1 e:1 e:1 a:1 b:1 c:1 a:1 g:1 e:1 e:1 e:1 h:1	1	14	f1r	1	page-003.jpg	p003-m100
n:1 e:1 g:1 e:1 e:1 a:1 e:1 b:1 c:1 a:1 g:1 e:1 e:1 f:1 k:1 f:1 i:1 d:1	1	18	f1r	1	page-003.jpg	p003-m135
n:1 e:1 g:1 e:1 e:1 c:1	1	6	f1r	1	page-003.jpg	p003-m121
n:1 e:1 g:1 e:1 e:1 e:1 e:1 i:1 d:1	1	9	f47v	1	page-094.jpg	p094-m029
n:1 e:1 g:1 e:1 e:1 e:1 f:1 f:1 i:1 d:1	1	10	f1r	1	page-003.jpg	p003-m160
n:1 e:1 g:1 e:1 e:1 f:1 f:1 i:1 d:1	1	9	f1r	1	page-003.jpg	p003-m015
n:1 e:1 g:1 e:1 e:1 f:1 k:1 f:1 i:1 d:1	1	10	f1r	1	page-003.jpg	p003-m148
n:1 e:1 g:1 e:1 f:1 i:1 d:1 c:1 e:1 h:1	1	10	f1r	1	page-003.jpg	p003-m006
