image_name	ordinal	status	eva_page	eva_paragraph	eva_line	eva_token_count	physical_row	physical_unit_count	physical_y_min	physical_y_max	physical_first_unit	physical_last_unit	note
page-003.jpg	1	paired-by-ordinal	f1r	1	1	10	1	9	362	597	p003-u001	p003-u009	ordinal pair only; not visual proof of exact alignment
page-003.jpg	2	paired-by-ordinal	f1r	1	2	11	2	10	560	704	p003-u010	p003-u019	ordinal pair only; not visual proof of exact alignment
page-003.jpg	3	paired-by-ordinal	f1r	1	3	9	3	10	647	768	p003-u020	p003-u029	ordinal pair only; not visual proof of exact alignment
page-003.jpg	4	paired-by-ordinal	f1r	1	4	9	4	8	730	875	p003-u030	p003-u037	ordinal pair only; not visual proof of exact alignment
page-003.jpg	5	paired-by-ordinal	f1r	1	5	7	5	6	822	963	p003-u038	p003-u043	ordinal pair only; not visual proof of exact alignment
page-003.jpg	6	paired-by-ordinal	f1r	2	7	10	6	7	972	1139	p003-u044	p003-u050	ordinal pair only; not visual proof of exact alignment
page-003.jpg	7	paired-by-ordinal	f1r	2	8	9	7	9	1114	1235	p003-u051	p003-u059	ordinal pair only; not visual proof of exact alignment
page-003.jpg	8	paired-by-ordinal	f1r	2	9	7	8	7	1191	1318	p003-u060	p003-u066	ordinal pair only; not visual proof of exact alignment
page-003.jpg	9	paired-by-ordinal	f1r	3	11	8	9	7	1401	1580	p003-u067	p003-u073	ordinal pair only; not visual proof of exact alignment
page-003.jpg	10	paired-by-ordinal	f1r	3	12	8	10	10	1539	1759	p003-u074	p003-u083	ordinal pair only; not visual proof of exact alignment
page-003.jpg	11	paired-by-ordinal	f1r	3	13	9	11	6	1638	1748	p003-u084	p003-u089	ordinal pair only; not visual proof of exact alignment
page-003.jpg	12	paired-by-ordinal	f1r	3	14	10	12	10	1721	1839	p003-u090	p003-u099	ordinal pair only; not visual proof of exact alignment
page-003.jpg	13	paired-by-ordinal	f1r	3	15	10	13	10	1804	1905	p003-u100	p003-u109	ordinal pair only; not visual proof of exact alignment
page-003.jpg	14	paired-by-ordinal	f1r	3	16	9	14	9	1887	1986	p003-u110	p003-u118	ordinal pair only; not visual proof of exact alignment
page-003.jpg	15	paired-by-ordinal	f1r	3	17	8	15	8	1953	2075	p003-u119	p003-u126	ordinal pair only; not visual proof of exact alignment
page-003.jpg	16	paired-by-ordinal	f1r	3	18	8	16	8	2033	2167	p003-u127	p003-u134	ordinal pair only; not visual proof of exact alignment
page-003.jpg	17	paired-by-ordinal	f1r	3	19	8	17	6	2117	2243	p003-u135	p003-u140	ordinal pair only; not visual proof of exact alignment
page-003.jpg	18	paired-by-ordinal	f1r	3	20	7	18	7	2208	2337	p003-u141	p003-u147	ordinal pair only; not visual proof of exact alignment
page-003.jpg	19	paired-by-ordinal	f1r	4	22	10	19	9	2350	2618	p003-u148	p003-u156	ordinal pair only; not visual proof of exact alignment
page-003.jpg	20	paired-by-ordinal	f1r	4	23	10	20	10	2568	2700	p003-u157	p003-u166	ordinal pair only; not visual proof of exact alignment
page-003.jpg	21	paired-by-ordinal	f1r	4	24	9	21	9	2649	2785	p003-u167	p003-u175	ordinal pair only; not visual proof of exact alignment
page-003.jpg	22	paired-by-ordinal	f1r	4	25	9	22	8	2730	2867	p003-u176	p003-u183	ordinal pair only; not visual proof of exact alignment
page-003.jpg	23	paired-by-ordinal	f1r	4	26	9	23	9	2822	2971	p003-u184	p003-u192	ordinal pair only; not visual proof of exact alignment
page-003.jpg	24	paired-by-ordinal	f1r	4	27	6	24	6	2913	3048	p003-u193	p003-u198	ordinal pair only; not visual proof of exact alignment
page-004.jpg	1	paired-by-ordinal	f1v	1	1	7	1	7	1808	2071	p004-u001	p004-u007	ordinal pair only; not visual proof of exact alignment
page-004.jpg	2	paired-by-ordinal	f1v	1	2	8	2	8	1935	2134	p004-u008	p004-u015	ordinal pair only; not visual proof of exact alignment
page-004.jpg	3	paired-by-ordinal	f1v	1	3	9	3	8	2014	2208	p004-u016	p004-u023	ordinal pair only; not visual proof of exact alignment
page-004.jpg	4	paired-by-ordinal	f1v	1	4	6	4	7	2084	2248	p004-u024	p004-u030	ordinal pair only; not visual proof of exact alignment
page-004.jpg	5	paired-by-ordinal	f1v	1	5	9	5	9	2190	2465	p004-u031	p004-u039	ordinal pair only; not visual proof of exact alignment
page-004.jpg	6	paired-by-ordinal	f1v	1	6	10	6	11	2369	2554	p004-u040	p004-u050	ordinal pair only; not visual proof of exact alignment
page-004.jpg	7	paired-by-ordinal	f1v	1	7	12	7	11	2475	2607	p004-u051	p004-u061	ordinal pair only; not visual proof of exact alignment
page-004.jpg	8	paired-by-ordinal	f1v	1	8	11	8	11	2514	2677	p004-u062	p004-u072	ordinal pair only; not visual proof of exact alignment
page-004.jpg	9	paired-by-ordinal	f1v	1	9	11	9	11	2610	2761	p004-u073	p004-u083	ordinal pair only; not visual proof of exact alignment
page-004.jpg	10	paired-by-ordinal	f1v	1	10	7	10	7	2685	2833	p004-u084	p004-u090	ordinal pair only; not visual proof of exact alignment
page-005.jpg	1	paired-by-ordinal	f2r	1	1	6	1	8	444	587	p005-u001	p005-u008	ordinal pair only; not visual proof of exact alignment
page-005.jpg	2	paired-by-ordinal	f2r	1	2	6	2	6	563	669	p005-u009	p005-u014	ordinal pair only; not visual proof of exact alignment
page-005.jpg	3	paired-by-ordinal	f2r	1	3	7	3	6	640	757	p005-u015	p005-u020	ordinal pair only; not visual proof of exact alignment
page-005.jpg	4	paired-by-ordinal	f2r	1	4	7	4	6	709	820	p005-u021	p005-u026	ordinal pair only; not visual proof of exact alignment
page-005.jpg	5	paired-by-ordinal	f2r	1	5	7	5	8	801	894	p005-u027	p005-u034	ordinal pair only; not visual proof of exact alignment
page-005.jpg	6	paired-by-ordinal	f2r	1	6	8	6	8	871	976	p005-u035	p005-u042	ordinal pair only; not visual proof of exact alignment
page-005.jpg	7	paired-by-ordinal	f2r	1	7	5	7	5	942	1052	p005-u043	p005-u047	ordinal pair only; not visual proof of exact alignment
page-005.jpg	8	paired-by-ordinal	f2r	1	8	9	8	11	2389	2561	p005-u048	p005-u058	ordinal pair only; not visual proof of exact alignment
page-005.jpg	9	paired-by-ordinal	f2r	1	9	10	9	12	2526	2672	p005-u059	p005-u070	ordinal pair only; not visual proof of exact alignment
page-005.jpg	10	paired-by-ordinal	f2r	1	10	9	10	10	2601	2730	p005-u071	p005-u080	ordinal pair only; not visual proof of exact alignment
page-005.jpg	11	paired-by-ordinal	f2r	1	11	9	11	9	2694	2783	p005-u081	p005-u089	ordinal pair only; not visual proof of exact alignment
page-005.jpg	12	paired-by-ordinal	f2r	1	12	11	12	10	2735	2880	p005-u090	p005-u099	ordinal pair only; not visual proof of exact alignment
page-005.jpg	13	paired-by-ordinal	f2r	1	13	5	13	5	2856	2962	p005-u100	p005-u104	ordinal pair only; not visual proof of exact alignment
page-006.jpg	1	paired-by-ordinal	f2v	1	1	9	1	6	596	797	p006-u001	p006-u006	ordinal pair only; not visual proof of exact alignment
page-006.jpg	2	paired-by-ordinal	f2v	1	2	9	2	8	717	863	p006-u007	p006-u014	ordinal pair only; not visual proof of exact alignment
page-006.jpg	3	paired-by-ordinal	f2v	1	3	8	3	8	808	942	p006-u015	p006-u022	ordinal pair only; not visual proof of exact alignment
page-006.jpg	4	paired-by-ordinal	f2v	1	4	4	4	4	896	967	p006-u023	p006-u026	ordinal pair only; not visual proof of exact alignment
page-006.jpg	5	paired-by-ordinal	f2v	1	5	9	5	9	2123	2329	p006-u027	p006-u035	ordinal pair only; not visual proof of exact alignment
page-006.jpg	6	paired-by-ordinal	f2v	1	6	10	6	10	2286	2403	p006-u036	p006-u045	ordinal pair only; not visual proof of exact alignment
page-006.jpg	7	paired-by-ordinal	f2v	1	7	7	7	7	2354	2476	p006-u046	p006-u052	ordinal pair only; not visual proof of exact alignment
page-006.jpg	8	paired-by-ordinal	f2v	1	8	5	8	5	2431	2557	p006-u053	p006-u057	ordinal pair only; not visual proof of exact alignment
page-007.jpg	1	paired-by-ordinal	f3r	1	1	5	1	5	527	670	p007-u001	p007-u005	ordinal pair only; not visual proof of exact alignment
page-007.jpg	2	paired-by-ordinal	f3r	1	2	5	2	5	629	736	p007-u006	p007-u010	ordinal pair only; not visual proof of exact alignment
page-007.jpg	3	paired-by-ordinal	f3r	1	3	5	3	5	702	829	p007-u011	p007-u015	ordinal pair only; not visual proof of exact alignment
page-007.jpg	4	paired-by-ordinal	f3r	1	4	6	4	6	790	876	p007-u016	p007-u021	ordinal pair only; not visual proof of exact alignment
page-007.jpg	5	paired-by-ordinal	f3r	1	5	5	5	4	859	966	p007-u022	p007-u025	ordinal pair only; not visual proof of exact alignment
page-007.jpg	6	paired-by-ordinal	f3r	1	6	5	6	4	925	1048	p007-u026	p007-u029	ordinal pair only; not visual proof of exact alignment
page-007.jpg	7	paired-by-ordinal	f3r	1	7	5	7	5	1011	1117	p007-u030	p007-u034	ordinal pair only; not visual proof of exact alignment
page-007.jpg	8	paired-by-ordinal	f3r	1	8	5	8	5	1082	1184	p007-u035	p007-u039	ordinal pair only; not visual proof of exact alignment
page-007.jpg	9	paired-by-ordinal	f3r	1	9	5	9	5	1159	1246	p007-u040	p007-u044	ordinal pair only; not visual proof of exact alignment
page-007.jpg	10	paired-by-ordinal	f3r	1	10	3	10	3	1241	1325	p007-u045	p007-u047	ordinal pair only; not visual proof of exact alignment
page-007.jpg	11	paired-by-ordinal	f3r	1	11	5	11	5	1594	1743	p007-u048	p007-u052	ordinal pair only; not visual proof of exact alignment
page-007.jpg	12	paired-by-ordinal	f3r	1	12	4	12	4	1717	1820	p007-u053	p007-u056	ordinal pair only; not visual proof of exact alignment
page-007.jpg	13	paired-by-ordinal	f3r	1	13	6	13	5	1793	1900	p007-u057	p007-u061	ordinal pair only; not visual proof of exact alignment
page-007.jpg	14	paired-by-ordinal	f3r	1	14	4	14	4	1866	1962	p007-u062	p007-u065	ordinal pair only; not visual proof of exact alignment
page-007.jpg	15	paired-by-ordinal	f3r	1	15	8	15	8	1941	2068	p007-u066	p007-u073	ordinal pair only; not visual proof of exact alignment
page-007.jpg	16	paired-by-ordinal	f3r	1	16	9	16	8	2050	2171	p007-u074	p007-u081	ordinal pair only; not visual proof of exact alignment
page-007.jpg	17	paired-by-ordinal	f3r	1	17	6	17	5	2133	2235	p007-u082	p007-u086	ordinal pair only; not visual proof of exact alignment
page-007.jpg	18	paired-by-ordinal	f3r	1	18	7	18	7	2220	2404	p007-u087	p007-u093	ordinal pair only; not visual proof of exact alignment
page-007.jpg	19	paired-by-ordinal	f3r	1	19	9	19	8	2352	2476	p007-u094	p007-u101	ordinal pair only; not visual proof of exact alignment
page-007.jpg	20	paired-by-ordinal	f3r	1	20	8	20	6	2440	2523	p007-u102	p007-u107	ordinal pair only; not visual proof of exact alignment
page-094.jpg	1	paired-by-ordinal	f47v	1	1	6	1	7	392	686	p094-u001	p094-u007	ordinal pair only; not visual proof of exact alignment
page-094.jpg	2	paired-by-ordinal	f47v	1	2	7	2	6	592	727	p094-u008	p094-u013	ordinal pair only; not visual proof of exact alignment
page-094.jpg	3	paired-by-ordinal	f47v	1	3	7	3	7	680	806	p094-u014	p094-u020	ordinal pair only; not visual proof of exact alignment
page-094.jpg	4	paired-by-ordinal	f47v	1	4	7	4	7	760	901	p094-u021	p094-u027	ordinal pair only; not visual proof of exact alignment
page-094.jpg	5	paired-by-ordinal	f47v	1	5	7	5	7	858	993	p094-u028	p094-u034	ordinal pair only; not visual proof of exact alignment
page-094.jpg	6	paired-by-ordinal	f47v	1	6	5	6	5	948	1044	p094-u035	p094-u039	ordinal pair only; not visual proof of exact alignment
page-094.jpg	7	paired-by-ordinal	f47v	1	7	3	7	3	2383	2513	p094-u040	p094-u042	ordinal pair only; not visual proof of exact alignment
page-094.jpg	8	paired-by-ordinal	f47v	1	8	4	8	5	2510	2599	p094-u043	p094-u047	ordinal pair only; not visual proof of exact alignment
page-094.jpg	9	paired-by-ordinal	f47v	1	9	5	9	8	2576	2722	p094-u048	p094-u055	ordinal pair only; not visual proof of exact alignment
page-094.jpg	10	paired-by-ordinal	f47v	1	10	9	10	6	2652	2803	p094-u056	p094-u061	ordinal pair only; not visual proof of exact alignment
page-094.jpg	11	paired-by-ordinal	f47v	1	11	9	11	8	2728	2883	p094-u062	p094-u069	ordinal pair only; not visual proof of exact alignment
page-094.jpg	12	paired-by-ordinal	f47v	1	12	8	12	7	2812	2949	p094-u070	p094-u076	ordinal pair only; not visual proof of exact alignment
page-094.jpg	13	paired-by-ordinal	f47v	1	13	6	13	5	2890	3059	p094-u077	p094-u081	ordinal pair only; not visual proof of exact alignment
page-094.jpg	14	paired-by-ordinal	f47v	1	14	2	14	2	3024	3136	p094-u082	p094-u083	ordinal pair only; not visual proof of exact alignment
