subset	representation	scope	train_regions_available	train_regions_evaluated	test_regions_available	test_regions_evaluated	train_coverage_of_all_train_regions	test_coverage_of_all_test_regions	vocabulary_size	predicted_opportunities	unseen_context_count	unseen_context_rate	log_loss_bits	normalized_log_loss	top1_accuracy	mean_observed_probability	bits_per_predicted_symbol	total_regional_code_length_bits	mean_bits_per_region
all	ATOMS	combined	144	144	65	65	1	1	16	1336	617	0.46182634730538924	3.231687076438054	0.8079217691095135	0.4296407185628742	0.13694822899620954	3.231687076438054	4317.53393412124	66.42359898648061
all	ATOMS	f2r	144	144	42	42	1	1	16	852	394	0.4624413145539906	3.2398029677077593	0.8099507419269398	0.43896713615023475	0.13519608278048645	3.2398029677077593	2760.312128487011	65.72171734492883
all	ATOMS	f2v	144	144	23	23	1	1	16	484	223	0.4607438016528926	3.217400424864116	0.804350106216029	0.4132231404958678	0.14003258555777398	3.217400424864116	1557.2218056342322	67.70529589714053
all	EVA	combined	144	139	65	65	1	1	19	597	361	0.6046901172529313	3.7921490248988547	0.8927056812757962	0.2629815745393635	0.08894370461631342	3.7921490248988547	2263.9129678646163	34.82943027484025
all	EVA	f2r	144	139	42	42	1	1	19	356	227	0.6376404494382022	3.8128369975941774	0.8975758144477608	0.25280898876404495	0.08674687859528357	3.8128369975941774	1357.3699711435272	32.318332646274456
all	EVA	f2v	144	139	23	23	1	1	19	241	134	0.5560165975103735	3.761589198012818	0.8855116256358817	0.27800829875518673	0.09218880861418147	3.761589198012818	906.5429967210891	39.41491290091692
medium	ATOMS	combined	28	28	9	9	0.19444444444444445	0.13846153846153847	16	76	37	0.4868421052631579	3.3747566465555394	0.8436891616388849	0.3815789473684211	0.11520301701222753	3.3747566465555394	256.481505138221	28.49794501535789
medium	ATOMS	f2r	28	28	3	3	0.19444444444444445	0.07142857142857142	16	22	16	0.7272727272727273	3.614080682014861	0.9035201705037152	0.2727272727272727	0.09090909090909093	3.614080682014861	79.50977500432694	26.503258334775648
medium	ATOMS	f2v	28	28	6	6	0.19444444444444445	0.2608695652173913	16	54	21	0.3888888888888889	3.277254261738778	0.8193135654346945	0.42592592592592593	0.12510054246165359	3.277254261738778	176.971730133894	29.495288355649
medium	EVA	combined	28	27	9	9	0.19444444444444445	0.13846153846153847	19	31	23	0.7419354838709677	4.010010923449639	0.9439923140776291	0.16129032258064516	0.06910333336848432	4.010010923449639	124.3103386269388	13.812259847437645
medium	EVA	f2r	28	27	3	3	0.19444444444444445	0.07142857142857142	19	10	8	0.8	4.2768054953106205	1.0067981343315402	0	0.05162907268170426	4.2768054953106205	42.7680549531062	14.256018317702067
medium	EVA	f2v	28	27	6	6	0.19444444444444445	0.2608695652173913	19	21	15	0.7142857142857143	3.8829658892301238	0.9140847806233857	0.23809523809523808	0.0774244098859986	3.8829658892301238	81.5422836738326	13.590380612305433
medium_low_medium	ATOMS	combined	52	52	18	18	0.3611111111111111	0.27692307692307694	16	162	77	0.47530864197530864	3.276737268547802	0.8191843171369505	0.3765432098765432	0.13564344606011278	3.276737268547802	530.8314375047439	29.490635416930218
medium_low_medium	ATOMS	f2r	52	52	11	11	0.3611111111111111	0.2619047619047619	16	100	62	0.62	3.4887423341985464	0.8721855835496366	0.3	0.11394372294372293	3.4887423341985464	348.87423341985465	31.715839401804967
medium_low_medium	ATOMS	f2v	52	52	7	7	0.3611111111111111	0.30434782608695654	16	62	15	0.24193548387096775	2.93479361427241	0.7336984035681025	0.5	0.17064299947364464	2.93479361427241	181.9572040848894	25.993886297841346
medium_low_medium	EVA	combined	52	48	18	18	0.3611111111111111	0.27692307692307694	19	63	43	0.6825396825396826	3.87029556897307	0.9111020742996654	0.2222222222222222	0.0825996668690359	3.87029556897307	243.82862084530342	13.546034491405745
medium_low_medium	EVA	f2r	52	48	11	11	0.3611111111111111	0.2619047619047619	19	38	26	0.6842105263157895	3.8672616419263086	0.9103878608303536	0.21052631578947367	0.08472416739789977	3.8672616419263086	146.95594239319973	13.359631126654522
medium_low_medium	EVA	f2v	52	48	7	7	0.3611111111111111	0.30434782608695654	19	25	17	0.68	3.874907138084144	0.9121876787730184	0.24	0.07937042606516288	3.874907138084144	96.8726784521036	13.838954064586229
one_to_one	ATOMS	combined	52	52	18	18	0.3611111111111111	0.27692307692307694	16	162	77	0.47530864197530864	3.276737268547802	0.8191843171369505	0.3765432098765432	0.13564344606011278	3.276737268547802	530.8314375047439	29.490635416930218
one_to_one	ATOMS	f2r	52	52	11	11	0.3611111111111111	0.2619047619047619	16	100	62	0.62	3.4887423341985464	0.8721855835496366	0.3	0.11394372294372293	3.4887423341985464	348.87423341985465	31.715839401804967
one_to_one	ATOMS	f2v	52	52	7	7	0.3611111111111111	0.30434782608695654	16	62	15	0.24193548387096775	2.93479361427241	0.7336984035681025	0.5	0.17064299947364464	2.93479361427241	181.9572040848894	25.993886297841346
one_to_one	EVA	combined	52	48	18	18	0.3611111111111111	0.27692307692307694	19	63	43	0.6825396825396826	3.87029556897307	0.9111020742996654	0.2222222222222222	0.0825996668690359	3.87029556897307	243.82862084530342	13.546034491405745
one_to_one	EVA	f2r	52	48	11	11	0.3611111111111111	0.2619047619047619	19	38	26	0.6842105263157895	3.8672616419263086	0.9103878608303536	0.21052631578947367	0.08472416739789977	3.8672616419263086	146.95594239319973	13.359631126654522
one_to_one	EVA	f2v	52	48	7	7	0.3611111111111111	0.30434782608695654	19	25	17	0.68	3.874907138084144	0.9121876787730184	0.24	0.07937042606516288	3.874907138084144	96.8726784521036	13.838954064586229
exclude_unresolved_eva_lines	ATOMS	combined	122	122	51	51	0.8472222222222222	0.7846153846153846	16	1114	643	0.5771992818671454	3.398661824086047	0.8496654560215118	0.34470377019748655	0.12189549410909895	3.398661824086047	3786.1092720318566	74.237436706507
exclude_unresolved_eva_lines	ATOMS	f2r	122	122	32	32	0.8472222222222222	0.7619047619047619	16	693	386	0.556998556998557	3.3820823529113535	0.8455205882278384	0.36075036075036077	0.12305177963441258	3.3820823529113535	2343.783070567568	73.2432209552365
exclude_unresolved_eva_lines	ATOMS	f2v	122	122	19	19	0.8472222222222222	0.8260869565217391	16	421	257	0.6104513064133017	3.4259529725992572	0.8564882431498143	0.3182897862232779	0.11999215475270383	3.4259529725992572	1442.3262014642874	75.91190534022564
exclude_unresolved_eva_lines	EVA	combined	122	118	51	51	0.8472222222222222	0.7846153846153846	19	518	378	0.7297297297297297	3.909292942441488	0.9202824036120186	0.19305019305019305	0.07979399129339144	3.909292942441488	2025.013744184691	39.706151846758644
exclude_unresolved_eva_lines	EVA	f2r	122	118	32	32	0.8472222222222222	0.7619047619047619	19	306	232	0.7581699346405228	3.927017960112178	0.9244550307612802	0.1830065359477124	0.07791646398367832	3.927017960112178	1201.6674957943264	37.5521092435727
exclude_unresolved_eva_lines	EVA	f2v	122	118	19	19	0.8472222222222222	0.8260869565217391	19	212	146	0.6886792452830188	3.8837087188225095	0.9142596493305458	0.20754716981132076	0.08250400712722127	3.8837087188225095	823.346248390372	43.33401307317747
relation_1_to_1	ATOMS	combined	52	52	18	18	0.3611111111111111	0.27692307692307694	16	162	77	0.47530864197530864	3.276737268547802	0.8191843171369505	0.3765432098765432	0.13564344606011278	3.276737268547802	530.8314375047439	29.490635416930218
relation_1_to_1	ATOMS	f2r	52	52	11	11	0.3611111111111111	0.2619047619047619	16	100	62	0.62	3.4887423341985464	0.8721855835496366	0.3	0.11394372294372293	3.4887423341985464	348.87423341985465	31.715839401804967
relation_1_to_1	ATOMS	f2v	52	52	7	7	0.3611111111111111	0.30434782608695654	16	62	15	0.24193548387096775	2.93479361427241	0.7336984035681025	0.5	0.17064299947364464	2.93479361427241	181.9572040848894	25.993886297841346
relation_1_to_1	EVA	combined	52	48	18	18	0.3611111111111111	0.27692307692307694	19	63	43	0.6825396825396826	3.87029556897307	0.9111020742996654	0.2222222222222222	0.0825996668690359	3.87029556897307	243.82862084530342	13.546034491405745
relation_1_to_1	EVA	f2r	52	48	11	11	0.3611111111111111	0.2619047619047619	19	38	26	0.6842105263157895	3.8672616419263086	0.9103878608303536	0.21052631578947367	0.08472416739789977	3.8672616419263086	146.95594239319973	13.359631126654522
relation_1_to_1	EVA	f2v	52	48	7	7	0.3611111111111111	0.30434782608695654	19	25	17	0.68	3.874907138084144	0.9121876787730184	0.24	0.07937042606516288	3.874907138084144	96.8726784521036	13.838954064586229
relation_1_to_N	ATOMS	combined	6	6	2	2	0.041666666666666664	0.03076923076923077	16	21	21	1	4	1	0	0.0625	4	84	42
relation_1_to_N	ATOMS	f2r	6	6	2	2	0.041666666666666664	0.047619047619047616	16	21	21	1	4	1	0	0.0625	4	84	42
relation_1_to_N	ATOMS	f2v	6	6	0	0	0.041666666666666664	0	16	0	0	0	0	0	0	0	0	0	0
relation_1_to_N	EVA	combined	6	5	2	2	0.041666666666666664	0.03076923076923077	19	6	6	1	4.247927513443585	1	0	0.05263157894736842	4.247927513443585	25.48756508066151	12.743782540330756
relation_1_to_N	EVA	f2r	6	5	2	2	0.041666666666666664	0.047619047619047616	19	6	6	1	4.247927513443585	1	0	0.05263157894736842	4.247927513443585	25.48756508066151	12.743782540330756
relation_1_to_N	EVA	f2v	6	5	0	0	0.041666666666666664	0	19	0	0	0	0	0	0	0	0	0	0
relation_N_to_1	ATOMS	combined	7	7	4	4	0.04861111111111111	0.06153846153846154	16	46	39	0.8478260869565217	3.82242832824379	0.9556070820609475	0.17391304347826086	0.07557367149758452	3.82242832824379	175.83170309921434	43.957925774803584
relation_N_to_1	ATOMS	f2r	7	7	4	4	0.04861111111111111	0.09523809523809523	16	46	39	0.8478260869565217	3.82242832824379	0.9556070820609475	0.17391304347826086	0.07557367149758452	3.82242832824379	175.83170309921434	43.957925774803584
relation_N_to_1	ATOMS	f2v	7	7	0	0	0.04861111111111111	0	16	0	0	0	0	0	0	0	0	0	0
relation_N_to_1	EVA	combined	7	7	4	4	0.04861111111111111	0.06153846153846154	19	21	21	1	4.247927513443585	1	0	0.0526315789473684	4.247927513443585	89.20647778231529	22.301619445578822
relation_N_to_1	EVA	f2r	7	7	4	4	0.04861111111111111	0.09523809523809523	19	21	21	1	4.247927513443585	1	0	0.0526315789473684	4.247927513443585	89.20647778231529	22.301619445578822
relation_N_to_1	EVA	f2v	7	7	0	0	0.04861111111111111	0	19	0	0	0	0	0	0	0	0	0	0
relation_N_to_M	ATOMS	combined	79	79	41	41	0.5486111111111112	0.6307692307692307	16	1107	560	0.5058717253839206	3.306602808128243	0.8266507020320607	0.4065040650406504	0.12860877937296697	3.306602808128243	3660.409308597965	89.27827581946255
relation_N_to_M	ATOMS	f2r	79	79	25	25	0.5486111111111112	0.5952380952380952	16	685	341	0.4978102189781022	3.292392459469381	0.8230981148673453	0.4248175182481752	0.12933985293367004	3.292392459469381	2255.288834736526	90.21155338946105
relation_N_to_M	ATOMS	f2v	79	79	16	16	0.5486111111111112	0.6956521739130435	16	422	219	0.518957345971564	3.3296693693399044	0.8324173423349761	0.3767772511848341	0.127422084138177	3.3296693693399044	1405.1204738614397	87.82002961633998
relation_N_to_M	EVA	combined	79	79	41	41	0.5486111111111112	0.6307692307692307	19	507	319	0.6291913214990138	3.846618073921922	0.9055281809184306	0.24260355029585798	0.08353983352982809	3.846618073921922	1950.2353634784145	47.566716182400356
relation_N_to_M	EVA	f2r	79	79	25	25	0.5486111111111112	0.5952380952380952	19	291	195	0.6701030927835051	3.8597480543427065	0.9086190953418127	0.24054982817869416	0.08151827848919092	3.8597480543427065	1123.1866838137275	44.9274673525491
relation_N_to_M	EVA	f2v	79	79	16	16	0.5486111111111112	0.6956521739130435	19	216	124	0.5740740740740741	3.828929072521738	0.9013640323202724	0.24537037037037038	0.08626331740401841	3.828929072521738	827.0486796646954	51.690542479043465
