subset	model	model_label	representation	scope	train_regions	test_regions	vocabulary_size	evaluated_opportunities	unseen_context_count	unseen_context_rate	normalized_log_loss	top1_accuracy	mean_observed_probability	atoms_minus_eva_normalized_log_loss	atoms_minus_eva_top1_accuracy	atoms_minus_eva_unseen_context_rate	atoms_minus_eva_mean_observed_probability
all	MODEL_0	Unigram baseline	ATOMS	combined	144	65	16	1336	0	0	0.8274229766674279	0.2874251497005988	0.14179034926256348
all	MODEL_0	Unigram baseline	EVA	combined	139	65	19	597	0	0	0.8726744482701525	0.15912897822445563	0.08945804661251089
all	MODEL_0	Unigram baseline	ATOMS_MINUS_EVA	combined										-0.04525147160272458	0.12829617147614317	0	0.05233230265005259
all	MODEL_1	Neighbors only	ATOMS	combined	144	65	16	1336	13	0.009730538922155689	0.2427366353624251	0.7919161676646707	0.6144697431766065
all	MODEL_1	Neighbors only	EVA	combined	139	65	19	597	16	0.02680067001675042	0.4319701412108788	0.6649916247906198	0.4086702131912012
all	MODEL_1	Neighbors only	ATOMS_MINUS_EVA	combined										-0.1892335058484537	0.12692454287405086	-0.01707013109459473	0.2057995299854053
all	MODEL_2	Neighbors plus coarse position	ATOMS	combined	144	65	16	1336	27	0.020209580838323353	0.3100953840095399	0.7941616766467066	0.5142494744445011
all	MODEL_2	Neighbors plus coarse position	EVA	combined	139	65	19	597	58	0.09715242881072027	0.5532976644606298	0.6298157453936348	0.2904612796206205
all	MODEL_2	Neighbors plus coarse position	ATOMS_MINUS_EVA	combined										-0.24320228045108988	0.16434593125307173	-0.07694284797239692	0.22378819482388057
all	MODEL_3	Published V2 exact-length model	ATOMS	combined	144	65	16	1336	617	0.46182634730538924	0.8079217691095135	0.4296407185628742	0.13694822899620954
all	MODEL_3	Published V2 exact-length model	EVA	combined	139	65	19	597	361	0.6046901172529313	0.8927056812757962	0.2629815745393635	0.08894370461631342
all	MODEL_3	Published V2 exact-length model	ATOMS_MINUS_EVA	combined										-0.08478391216628267	0.16665914402351073	-0.14286376994754207	0.04800452437989612
all	MODEL_4	Neighbors plus coarse position and train-defined length bins	ATOMS	combined	144	65	16	1336	85	0.06362275449101797	0.42604913832405766	0.7432634730538922	0.395226382301049
all	MODEL_4	Neighbors plus coarse position and train-defined length bins	EVA	combined	139	65	19	597	134	0.22445561139028475	0.6836476890229042	0.542713567839196	0.19581782434054762
all	MODEL_4	Neighbors plus coarse position and train-defined length bins	ATOMS_MINUS_EVA	combined										-0.2575985506988465	0.20054990521469618	-0.1608328568992668	0.1994085579605014
medium	MODEL_0	Unigram baseline	ATOMS	combined	28	9	16	76	0	0	0.7755569334592378	0.3157894736842105	0.1504524886877828
medium	MODEL_0	Unigram baseline	EVA	combined	27	9	19	31	0	0	0.8481707472354811	0.1935483870967742	0.11392877121014361
medium	MODEL_0	Unigram baseline	ATOMS_MINUS_EVA	combined										-0.07261381377624332	0.12224108658743632	0	0.03652371747763919
medium	MODEL_1	Neighbors only	ATOMS	combined	28	9	16	76	8	0.10526315789473684	0.5275973332573911	0.618421052631579	0.310880807301639
medium	MODEL_1	Neighbors only	EVA	combined	27	9	19	31	13	0.41935483870967744	0.8525344623814125	0.2903225806451613	0.11838392927933053
medium	MODEL_1	Neighbors only	ATOMS_MINUS_EVA	combined										-0.3249371291240214	0.3280984719864177	-0.3140916808149406	0.19249687802230844
medium	MODEL_2	Neighbors plus coarse position	ATOMS	combined	28	9	16	76	16	0.21052631578947367	0.6299625876194339	0.5131578947368421	0.2322187391065202
medium	MODEL_2	Neighbors plus coarse position	EVA	combined	27	9	19	31	16	0.5161290322580645	0.8767415200005216	0.22580645161290322	0.10612699686753496
medium	MODEL_2	Neighbors plus coarse position	ATOMS_MINUS_EVA	combined										-0.24677893238108772	0.2873514431239389	-0.30560271646859083	0.12609174223898523
medium	MODEL_3	Published V2 exact-length model	ATOMS	combined	28	9	16	76	37	0.4868421052631579	0.8436891616388849	0.3815789473684211	0.11520301701222753
medium	MODEL_3	Published V2 exact-length model	EVA	combined	27	9	19	31	23	0.7419354838709677	0.9439923140776291	0.16129032258064516	0.06910333336848432
medium	MODEL_3	Published V2 exact-length model	ATOMS_MINUS_EVA	combined										-0.10030315243874421	0.22028862478777592	-0.25509337860780984	0.046099683643743214
medium	MODEL_4	Neighbors plus coarse position and train-defined length bins	ATOMS	combined	28	9	16	76	29	0.3815789473684211	0.8047229612387836	0.39473684210526316	0.1376210229828651
medium	MODEL_4	Neighbors plus coarse position and train-defined length bins	EVA	combined	27	9	19	31	22	0.7096774193548387	0.9496885337035846	0.16129032258064516	0.06653731101948417
medium	MODEL_4	Neighbors plus coarse position and train-defined length bins	ATOMS_MINUS_EVA	combined										-0.14496557246480102	0.233446519524618	-0.3280984719864177	0.07108371196338094
medium_low_medium	MODEL_0	Unigram baseline	ATOMS	combined	52	18	16	162	0	0	0.8286407905101316	0.25308641975308643	0.13933202724134716
medium_low_medium	MODEL_0	Unigram baseline	EVA	combined	48	18	19	63	0	0	0.847426700252988	0.12698412698412698	0.10123955353637334
medium_low_medium	MODEL_0	Unigram baseline	ATOMS_MINUS_EVA	combined										-0.018785909742856433	0.12610229276895946	0	0.03809247370497382
medium_low_medium	MODEL_1	Neighbors only	ATOMS	combined	52	18	16	162	9	0.05555555555555555	0.42033197928417854	0.7160493827160493	0.38740182451646343
medium_low_medium	MODEL_1	Neighbors only	EVA	combined	48	18	19	63	17	0.2698412698412698	0.7231037758351613	0.5396825396825397	0.1624710854918307
medium_low_medium	MODEL_1	Neighbors only	ATOMS_MINUS_EVA	combined										-0.30277179655098274	0.1763668430335097	-0.21428571428571427	0.22493073902463273
medium_low_medium	MODEL_2	Neighbors plus coarse position	ATOMS	combined	52	18	16	162	27	0.16666666666666666	0.5472442970015557	0.6234567901234568	0.2949137844089684
medium_low_medium	MODEL_2	Neighbors plus coarse position	EVA	combined	48	18	19	63	26	0.4126984126984127	0.8040478654569809	0.38095238095238093	0.13324079724088705
medium_low_medium	MODEL_2	Neighbors plus coarse position	ATOMS_MINUS_EVA	combined										-0.2568035684554252	0.24250440917107585	-0.24603174603174602	0.16167298716808137
medium_low_medium	MODEL_3	Published V2 exact-length model	ATOMS	combined	52	18	16	162	77	0.47530864197530864	0.8191843171369505	0.3765432098765432	0.13564344606011278
medium_low_medium	MODEL_3	Published V2 exact-length model	EVA	combined	48	18	19	63	43	0.6825396825396826	0.9111020742996654	0.2222222222222222	0.0825996668690359
medium_low_medium	MODEL_3	Published V2 exact-length model	ATOMS_MINUS_EVA	combined										-0.09191775716271489	0.154320987654321	-0.20723104056437391	0.053043779191076876
medium_low_medium	MODEL_4	Neighbors plus coarse position and train-defined length bins	ATOMS	combined	52	18	16	162	47	0.29012345679012347	0.6958970183552099	0.5185185185185185	0.19448770032920362
medium_low_medium	MODEL_4	Neighbors plus coarse position and train-defined length bins	EVA	combined	48	18	19	63	39	0.6190476190476191	0.8909347878489297	0.2857142857142857	0.08733448528152678
medium_low_medium	MODEL_4	Neighbors plus coarse position and train-defined length bins	ATOMS_MINUS_EVA	combined										-0.19503776949371976	0.2328042328042328	-0.3289241622574956	0.10715321504767684
one_to_one	MODEL_0	Unigram baseline	ATOMS	combined	52	18	16	162	0	0	0.8286407905101316	0.25308641975308643	0.13933202724134716
one_to_one	MODEL_0	Unigram baseline	EVA	combined	48	18	19	63	0	0	0.847426700252988	0.12698412698412698	0.10123955353637334
one_to_one	MODEL_0	Unigram baseline	ATOMS_MINUS_EVA	combined										-0.018785909742856433	0.12610229276895946	0	0.03809247370497382
one_to_one	MODEL_1	Neighbors only	ATOMS	combined	52	18	16	162	9	0.05555555555555555	0.42033197928417854	0.7160493827160493	0.38740182451646343
one_to_one	MODEL_1	Neighbors only	EVA	combined	48	18	19	63	17	0.2698412698412698	0.7231037758351613	0.5396825396825397	0.1624710854918307
one_to_one	MODEL_1	Neighbors only	ATOMS_MINUS_EVA	combined										-0.30277179655098274	0.1763668430335097	-0.21428571428571427	0.22493073902463273
one_to_one	MODEL_2	Neighbors plus coarse position	ATOMS	combined	52	18	16	162	27	0.16666666666666666	0.5472442970015557	0.6234567901234568	0.2949137844089684
one_to_one	MODEL_2	Neighbors plus coarse position	EVA	combined	48	18	19	63	26	0.4126984126984127	0.8040478654569809	0.38095238095238093	0.13324079724088705
one_to_one	MODEL_2	Neighbors plus coarse position	ATOMS_MINUS_EVA	combined										-0.2568035684554252	0.24250440917107585	-0.24603174603174602	0.16167298716808137
one_to_one	MODEL_3	Published V2 exact-length model	ATOMS	combined	52	18	16	162	77	0.47530864197530864	0.8191843171369505	0.3765432098765432	0.13564344606011278
one_to_one	MODEL_3	Published V2 exact-length model	EVA	combined	48	18	19	63	43	0.6825396825396826	0.9111020742996654	0.2222222222222222	0.0825996668690359
one_to_one	MODEL_3	Published V2 exact-length model	ATOMS_MINUS_EVA	combined										-0.09191775716271489	0.154320987654321	-0.20723104056437391	0.053043779191076876
one_to_one	MODEL_4	Neighbors plus coarse position and train-defined length bins	ATOMS	combined	52	18	16	162	47	0.29012345679012347	0.6958970183552099	0.5185185185185185	0.19448770032920362
one_to_one	MODEL_4	Neighbors plus coarse position and train-defined length bins	EVA	combined	48	18	19	63	39	0.6190476190476191	0.8909347878489297	0.2857142857142857	0.08733448528152678
one_to_one	MODEL_4	Neighbors plus coarse position and train-defined length bins	ATOMS_MINUS_EVA	combined										-0.19503776949371976	0.2328042328042328	-0.3289241622574956	0.10715321504767684
exclude_unresolved_eva_lines	MODEL_0	Unigram baseline	ATOMS	combined	122	51	16	1114	0	0	0.8289226981137763	0.28545780969479356	0.14080876686204988
exclude_unresolved_eva_lines	MODEL_0	Unigram baseline	EVA	combined	118	51	19	518	0	0	0.8755996686206314	0.15444015444015444	0.08817981460589118
exclude_unresolved_eva_lines	MODEL_0	Unigram baseline	ATOMS_MINUS_EVA	combined										-0.04667697050685515	0.13101765525463913	0	0.0526289522561587
exclude_unresolved_eva_lines	MODEL_1	Neighbors only	ATOMS	combined	122	51	16	1114	13	0.011669658886894075	0.2468519840142945	0.7917414721723519	0.602624425635377
exclude_unresolved_eva_lines	MODEL_1	Neighbors only	EVA	combined	118	51	19	518	15	0.02895752895752896	0.45055746686163684	0.6583011583011583	0.3908501777666229
exclude_unresolved_eva_lines	MODEL_1	Neighbors only	ATOMS_MINUS_EVA	combined										-0.20370548284734233	0.1334403138711936	-0.017287870070634884	0.2117742478687541
exclude_unresolved_eva_lines	MODEL_2	Neighbors plus coarse position	ATOMS	combined	122	51	16	1114	27	0.02423698384201077	0.32131552456349344	0.7917414721723519	0.49636948110717427
exclude_unresolved_eva_lines	MODEL_2	Neighbors plus coarse position	EVA	combined	118	51	19	518	58	0.11196911196911197	0.5775181594313602	0.6158301158301158	0.27074406678469665
exclude_unresolved_eva_lines	MODEL_2	Neighbors plus coarse position	ATOMS_MINUS_EVA	combined										-0.25620263486786676	0.1759113563422361	-0.0877321281271012	0.22562541432247762
exclude_unresolved_eva_lines	MODEL_3	Published V2 exact-length model	ATOMS	combined	122	51	16	1114	643	0.5771992818671454	0.8496654560215118	0.34470377019748655	0.12189549410909895
exclude_unresolved_eva_lines	MODEL_3	Published V2 exact-length model	EVA	combined	118	51	19	518	378	0.7297297297297297	0.9202824036120186	0.19305019305019305	0.07979399129339144
exclude_unresolved_eva_lines	MODEL_3	Published V2 exact-length model	ATOMS_MINUS_EVA	combined										-0.07061694759050685	0.1516535771472935	-0.1525304478625843	0.0421015028157075
exclude_unresolved_eva_lines	MODEL_4	Neighbors plus coarse position and train-defined length bins	ATOMS	combined	122	51	16	1114	89	0.07989228007181329	0.46018255505866484	0.7387791741472173	0.3588369298646238
exclude_unresolved_eva_lines	MODEL_4	Neighbors plus coarse position and train-defined length bins	EVA	combined	118	51	19	518	148	0.2857142857142857	0.7176538603286585	0.5077220077220077	0.17648059035459102
exclude_unresolved_eva_lines	MODEL_4	Neighbors plus coarse position and train-defined length bins	ATOMS_MINUS_EVA	combined										-0.2574713052699937	0.23105716642520957	-0.2058220056424724	0.18235633951003277
